minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
4.5,5.72,6.41,9.0,1.92,2.49,4.26,508.29,95.03,0.91,253.43,10.09,61.91,50.45,0.0
2.78,4.14,6.41,9.0,0.72,2.49,4.29,533.7,157.87,0.92,263.84,10.71,66.49,50.83,12.0
4.73,1.65,8.66,9.0,0.81,5.8,4.88,690.31,283.23,1.09,419.53,10.16,67.69,47.43,33.0
2.67,2.07,6.41,9.0,0.86,2.49,4.8,588.47,189.42,1.02,327.89,9.98,64.01,48.83,0.0
3.35,3.71,6.41,9.0,0.51,2.49,4.08,437.13,89.61,0.78,173.65,10.86,64.41,52.7,40.0
3.92,3.71,8.26,9.0,1.92,4.96,4.55,559.86,127.45,1.0,302.97,10.17,62.65,50.32,0.0
3.49,1.98,6.41,9.0,1.78,2.49,5.31,796.96,301.44,1.24,534.71,9.28,65.19,45.1,0.0
3.92,5.36,7.01,9.0,1.92,2.49,4.51,516.77,97.84,0.9,259.55,10.1,62.44,50.11,0.0
3.92,4.0,6.41,9.0,1.92,4.29,4.42,562.5,128.37,0.97,302.73,10.11,63.5,49.75,0.0
4.56,3.71,5.27,9.0,1.92,2.49,4.56,595.03,143.54,1.01,338.33,9.83,62.68,48.36,0.0
3.92,3.71,6.41,9.0,1.92,2.49,4.58,590.33,146.39,0.99,330.64,9.83,63.61,48.53,0.0
3.86,5.72,10.17,9.0,1.92,2.49,4.29,524.19,104.39,0.91,265.35,10.18,63.03,50.05,0.0
3.64,4.21,6.41,9.0,1.09,6.73,4.45,528.1,144.04,0.95,262.58,10.83,64.97,52.56,0.0
2.78,2.14,6.41,9.0,1.92,3.97,4.68,639.57,174.62,1.04,379.32,9.67,64.03,46.66,0.0
1.61,2.61,6.41,9.0,0.69,2.49,4.33,454.55,90.12,0.8,194.62,10.44,63.57,50.97,20.0
2.78,5.72,5.55,9.0,1.3,6.75,4.19,498.11,111.93,0.87,231.97,10.85,65.13,51.93,0.0
3.62,5.72,6.41,9.0,1.92,2.49,4.59,626.09,162.12,1.07,362.24,10.05,64.83,48.64,0.0
3.86,5.72,13.47,9.0,1.87,2.49,4.47,603.96,149.6,0.98,338.9,10.2,65.37,48.56,0.0
4.87,2.85,6.41,9.0,1.92,2.49,4.68,643.99,175.31,1.05,383.68,9.63,63.93,47.17,0.0
2.78,5.72,5.55,9.0,0.82,6.75,4.38,544.28,172.46,1.0,275.97,11.05,65.64,53.34,3.0
1.72,5.76,12.79,9.0,1.26,6.75,4.39,480.16,111.69,0.87,214.53,11.05,64.94,53.36,0.0
2.78,2.75,5.55,9.0,1.3,6.75,4.5,524.51,128.77,0.94,265.7,10.44,63.29,50.77,0.0
3.06,5.72,4.02,9.0,1.3,6.75,4.32,500.44,113.2,0.89,235.8,10.74,64.7,52.22,1.0
1.78,1.86,5.55,9.0,1.3,5.53,4.59,550.29,141.08,0.96,295.41,9.96,62.49,48.98,0.0
