minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness
2.82,7.67,4.89,9.0,1.66,3.22,4.51,496.85,109.36,0.89,235.78,10.47,63.55,51.48,0.0,-0.31
2.54,8.62,8.4,9.0,0.89,7.19,4.15,455.72,97.62,0.83,184.22,11.37,66.56,54.36,0.0,-1.54
2.54,8.33,9.33,9.0,1.43,7.07,4.26,471.29,106.45,0.87,207.05,10.97,64.53,53.38,0.0,-1.06
1.26,7.81,12.49,9.0,0.88,4.78,4.18,490.5,140.7,0.89,222.36,11.29,65.54,53.96,7.0,4.0
2.54,8.33,8.93,9.0,0.81,7.19,4.18,461.82,104.25,0.83,190.18,11.45,66.57,54.16,8.0,4.0
4.18,8.58,14.85,9.0,0.89,7.17,4.34,508.46,140.44,0.92,237.49,11.34,66.4,53.73,0.0,-1.12
2.54,8.74,9.52,9.0,1.95,7.19,4.5,616.92,209.95,1.08,347.56,10.44,66.48,48.8,0.0,0.43
2.63,6.83,8.93,9.0,1.99,2.8,4.34,510.19,109.56,0.91,253.93,10.27,62.27,50.66,0.0,-0.22
3.21,7.15,8.93,9.0,1.12,7.19,4.46,543.97,157.48,0.98,273.61,11.08,66.47,52.67,0.0,-0.67
2.54,7.45,4.35,9.0,1.58,7.19,4.13,491.95,110.56,0.88,228.06,10.74,64.46,52.1,0.0,-0.84
2.54,4.78,8.93,9.0,0.82,7.19,4.45,482.27,121.61,0.88,215.49,11.16,65.2,53.7,2.0,4.0
2.54,8.3,7.5,9.0,0.89,4.02,4.31,483.95,119.56,0.87,215.25,11.19,65.72,53.45,0.0,-1.11
2.54,8.33,7.09,9.0,1.93,6.8,4.39,568.5,171.43,1.04,305.7,10.51,64.23,51.08,0.0,-0.13
2.54,6.27,14.67,9.0,0.89,6.1,4.32,461.92,103.16,0.82,191.62,11.25,66.2,53.18,0.0,-1.17
