minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness
3.44,5.54,6.93,9.0,0.81,5.26,4.42,473.98,119.32,0.85,210.19,10.89,64.67,52.47,0.0,-0.19
4.95,2.47,11.23,9.0,0.81,5.77,4.78,566.59,196.64,1.02,304.11,10.61,64.55,51.41,0.0,0.26
4.31,1.68,6.75,9.0,0.81,7.51,4.6,531.21,164.8,0.95,271.83,10.43,63.61,51.31,2.0,4.0
2.04,2.98,6.75,9.0,0.81,6.45,4.37,467.84,111.18,0.84,204.23,10.81,64.69,52.23,0.0,-0.19
4.31,5.54,9.15,9.0,1.58,5.77,4.67,515.02,132.02,0.95,253.83,10.66,63.91,52.92,0.0,-0.03
1.42,5.54,6.75,9.0,0.73,5.23,4.34,467.81,116.12,0.87,204.31,10.94,64.42,53.59,39.0,4.0
4.31,5.54,13.35,9.0,0.81,5.65,5.15,555.71,186.58,1.0,287.28,10.86,65.97,52.45,0.0,0.24
1.82,5.54,14.71,9.0,1.35,3.3,4.86,611.63,210.15,1.08,343.22,10.66,66.2,51.04,0.0,0.33
2.51,5.54,14.59,9.0,1.95,7.41,4.53,527.67,133.85,0.93,262.01,10.6,65.03,51.29,0.0,0.04
4.31,5.54,6.75,9.0,0.81,5.77,4.61,548.04,179.37,1.0,282.65,10.83,65.05,52.82,0.0,0.0
2.78,5.54,6.75,9.0,0.71,7.41,4.37,479.99,124.62,0.86,214.03,10.99,65.2,52.74,14.0,4.0
4.37,5.54,6.75,9.0,1.34,7.41,4.71,565.92,177.22,1.02,300.86,10.7,64.98,51.98,0.0,0.13
4.51,5.5,14.59,9.0,1.95,2.02,4.46,542.7,143.05,0.97,283.81,10.35,63.41,50.59,0.0,0.15
2.51,5.54,14.59,9.0,1.82,4.18,4.6,526.74,135.29,0.94,262.99,10.6,64.63,51.75,1.0,4.0
2.51,5.54,9.01,9.0,1.8,7.18,4.67,616.08,192.04,1.06,345.93,10.57,66.51,50.38,0.0,0.28
1.66,3.79,10.78,9.0,1.95,7.83,4.73,511.3,123.9,0.92,251.11,10.54,63.63,51.65,0.0,0.09
2.82,5.54,13.65,9.0,1.76,7.46,4.81,485.73,111.5,0.87,224.06,10.66,64.08,51.83,0.0,0.05
2.51,5.54,10.3,9.0,1.52,7.41,4.5,537.95,152.13,0.96,274.28,10.73,64.64,51.75,0.0,0.0
2.51,5.04,14.59,9.0,1.22,3.6,4.4,498.31,128.2,0.89,235.69,10.78,64.31,52.07,0.0,-0.12
1.83,3.24,14.59,9.0,1.95,6.46,5.05,613.78,195.23,1.11,351.61,10.37,64.38,50.46,0.0,0.49
4.51,5.5,14.59,9.0,1.02,2.02,4.5,508.34,140.49,0.93,247.59,10.7,63.83,52.68,0.0,-0.07
