minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
4.0,2.27,11.47,9.0,0.59,3.62,4.52,505.56,150.11,0.92,246.23,10.52,63.46,51.91,40.0
1.76,5.33,8.06,9.0,1.29,5.97,4.19,474.4,98.4,0.85,208.33,10.89,65.14,52.6,0.0
2.96,5.33,7.59,9.0,0.88,5.97,4.24,467.1,103.36,0.82,196.43,11.14,66.32,52.93,0.0
4.59,5.33,13.1,9.0,0.68,5.97,4.42,445.01,101.46,0.81,176.27,11.29,65.62,54.06,10.0
2.12,5.33,5.51,9.0,0.58,5.97,4.18,435.47,85.76,0.78,166.48,11.28,65.72,53.81,80.0
2.57,5.75,5.51,9.0,0.59,5.97,4.24,440.97,92.0,0.79,172.22,11.26,65.69,53.92,58.0
2.89,5.33,5.51,9.0,0.88,3.9,4.24,496.36,127.07,0.89,230.24,10.94,65.1,52.97,0.0
3.81,5.33,5.51,9.0,1.45,5.97,4.65,512.15,117.56,0.92,250.05,10.65,63.98,52.49,0.0
2.57,5.33,5.51,9.0,1.9,5.97,4.39,538.11,113.09,1.01,280.5,10.34,62.76,51.31,0.0
1.68,2.44,14.04,9.0,0.53,3.82,4.43,426.81,82.43,0.79,168.09,10.73,63.23,52.9,97.0
2.46,5.49,13.94,9.0,0.88,3.62,4.2,471.45,110.78,0.86,204.5,11.09,65.26,53.49,0.0
2.57,5.33,5.51,9.0,0.88,5.97,4.09,463.66,103.06,0.83,196.62,11.07,65.3,53.3,0.0
2.57,2.0,6.23,9.0,0.88,4.34,4.67,573.77,179.19,1.0,311.23,10.2,64.56,49.54,0.0
1.27,4.45,13.94,9.0,0.9,2.81,4.86,464.28,101.97,0.87,200.05,10.95,64.53,53.71,0.0
2.16,4.94,5.51,9.0,0.88,5.24,4.82,495.73,128.15,0.91,229.99,11.02,65.0,53.65,0.0
1.68,5.33,13.94,9.0,0.97,5.97,5.27,462.76,104.07,0.85,195.61,11.13,65.32,53.49,0.0
2.31,3.03,6.3,9.0,0.89,3.62,4.45,484.92,115.27,0.88,223.95,10.61,63.87,51.97,0.0
2.57,2.02,13.79,9.0,0.88,6.47,4.79,581.85,193.66,1.03,318.99,10.43,64.86,50.38,1.0
3.55,5.48,7.37,9.0,1.59,5.97,4.39,571.61,151.87,1.03,306.54,10.59,64.92,50.97,0.0
2.57,1.77,5.51,9.0,0.88,5.97,4.66,567.81,170.88,0.99,306.08,10.17,64.39,49.69,0.0
2.77,2.58,5.51,9.0,1.59,5.97,4.67,568.88,147.87,1.01,312.52,10.1,62.78,49.27,0.0
2.57,4.0,13.3,9.0,1.02,2.87,4.68,491.72,115.51,0.88,226.41,10.8,64.95,52.54,0.0
2.57,5.33,9.49,9.0,0.88,5.15,4.1,447.37,91.81,0.81,180.46,11.16,65.26,53.72,0.0
1.59,5.33,5.51,9.0,0.88,5.97,4.76,455.71,97.86,0.84,190.79,11.07,64.71,53.87,1.0
1.96,4.1,5.51,9.0,1.51,4.91,4.78,524.61,119.2,0.93,262.1,10.48,64.16,50.91,0.0
4.24,1.94,4.75,9.0,1.51,4.91,5.05,758.59,288.56,1.13,491.48,9.74,66.45,45.85,0.0
