minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness
4.15,3.94,2.35,9.0,1.04,4.5,4.48,535.57,147.87,0.92,277.25,10.0,63.73,49.19,0.0,0.39
2.0,4.95,7.4,9.0,1.04,4.83,5.14,538.97,153.89,1.0,283.23,10.05,62.86,50.53,2.0,4.0
3.44,3.21,8.15,9.0,1.04,4.83,4.77,506.33,126.98,0.92,253.01,10.04,62.19,50.62,0.0,0.33
2.84,2.64,2.35,9.0,1.04,2.31,4.68,547.81,154.54,0.97,297.66,9.76,61.44,50.1,0.0,0.61
4.78,2.91,3.48,9.0,1.83,3.63,4.6,601.49,171.11,1.01,344.45,9.71,63.43,47.37,0.0,0.97
3.89,3.29,2.97,9.0,0.66,4.83,4.49,526.0,146.99,0.94,271.6,10.05,62.56,50.35,4.0,4.0
2.84,3.67,2.35,9.0,1.04,7.93,4.85,686.95,266.9,1.13,424.82,9.98,64.9,47.69,0.0,1.36
2.47,3.0,5.57,9.0,1.04,4.83,5.74,782.88,354.65,1.27,518.21,9.67,66.15,46.72,0.0,2.72
2.84,1.44,2.92,9.0,0.54,5.93,5.27,667.0,250.99,1.05,407.24,9.7,64.28,46.96,3.0,4.0
2.84,3.94,2.35,9.0,0.73,4.96,4.39,533.8,146.97,0.92,274.38,10.09,63.98,49.34,3.0,4.0
2.84,3.94,8.88,9.0,0.7,5.88,4.62,513.01,135.51,0.92,256.19,10.14,63.13,50.85,13.0,4.0
2.84,1.83,2.35,9.0,1.04,4.83,4.92,590.57,180.52,0.97,333.59,9.73,63.41,47.83,0.0,1.19
2.84,3.2,4.32,9.0,1.04,4.83,4.48,579.63,181.45,1.0,323.1,9.93,63.36,48.57,0.0,0.64
2.84,3.94,5.79,9.0,1.04,4.83,5.54,708.09,287.33,1.19,446.02,9.87,64.8,48.13,0.0,1.99
2.84,3.94,2.35,9.0,1.04,4.08,4.58,547.77,154.37,0.97,291.27,9.99,62.99,49.68,0.0,0.44
2.84,3.94,2.35,9.0,1.04,3.24,5.29,614.49,208.23,1.06,356.07,9.93,63.78,48.63,1.0,4.0
2.84,2.95,3.96,9.0,1.04,4.83,4.54,589.3,185.57,0.99,330.1,9.97,64.14,48.26,0.0,0.72
4.32,3.94,2.35,9.0,1.33,4.83,4.83,676.4,253.54,1.11,416.39,9.8,64.3,47.35,0.0,1.44
1.63,3.94,2.92,9.0,1.04,4.83,4.39,481.21,105.42,0.88,227.57,10.08,62.41,50.53,0.0,-0.07
4.18,3.94,2.35,9.0,1.04,3.63,4.85,593.85,192.88,1.06,338.18,9.89,62.97,49.05,0.0,0.95
2.84,3.94,2.35,9.0,1.04,6.01,5.01,622.04,213.96,1.06,362.89,9.92,64.02,48.47,0.0,1.21
2.84,3.94,2.35,9.0,1.44,7.98,4.68,620.62,200.95,1.03,361.46,9.89,64.06,47.74,0.0,1.0
3.25,3.94,2.35,9.0,1.04,2.04,4.67,554.77,160.94,0.99,301.7,9.84,62.21,49.8,0.0,0.62
2.84,4.54,2.35,9.0,1.27,7.38,4.96,551.82,158.88,0.97,297.72,9.94,62.4,49.21,4.0,4.0
4.49,5.11,2.92,9.0,0.68,4.83,4.51,528.61,150.07,0.93,272.27,10.13,63.16,49.74,1.0,4.0
2.91,3.49,2.92,9.0,1.01,4.83,4.61,552.04,158.12,0.97,295.89,9.98,62.93,49.13,0.0,0.55
1.42,4.52,2.92,9.0,0.59,4.83,4.44,480.91,112.53,0.89,228.94,10.15,61.97,50.88,57.0,4.0
1.95,3.94,8.22,9.0,1.04,4.83,4.56,551.11,157.25,0.97,291.84,10.09,63.92,49.47,0.0,0.4
1.63,3.94,2.92,9.0,1.04,5.57,4.34,504.52,122.88,0.89,248.78,10.1,62.88,49.45,0.0,0.08
3.94,3.94,2.92,9.0,1.04,4.36,5.11,567.68,170.56,0.99,310.9,9.95,63.18,49.06,0.0,1.02
1.63,2.07,8.62,9.0,1.04,6.71,4.72,577.35,176.04,1.02,320.85,9.9,63.19,49.09,0.0,0.76
1.56,1.74,7.0,9.0,1.04,2.04,4.71,587.07,177.08,1.02,333.06,9.54,62.53,47.85,0.0,1.13
2.84,3.94,2.35,9.0,1.04,7.14,4.74,569.65,170.54,1.0,312.31,10.05,63.22,49.37,0.0,0.63
2.84,3.94,2.35,9.0,1.04,6.19,4.59,553.28,159.55,0.98,298.26,10.0,62.69,49.54,0.0,0.48
1.63,3.54,2.35,9.0,1.2,4.83,4.39,507.01,120.78,0.91,253.89,9.98,62.2,49.71,0.0,0.16
2.47,3.94,7.45,9.0,1.04,4.83,5.11,559.68,165.8,0.98,302.29,10.0,63.5,49.23,0.0,0.95
4.69,3.94,8.15,9.0,1.04,6.19,5.09,558.64,166.91,0.98,301.27,10.02,63.51,49.21,0.0,0.92
3.77,2.92,4.31,9.0,1.04,4.83,4.79,653.88,237.41,1.07,391.14,9.92,64.95,47.6,0.0,1.24
4.8,3.94,2.35,9.0,1.41,4.83,4.71,550.51,153.78,0.97,297.04,9.88,62.3,49.29,1.0,4.0
2.84,2.06,8.88,9.0,1.04,4.83,5.01,693.23,272.88,1.14,431.19,9.8,64.76,47.67,0.0,1.62
2.84,3.94,4.24,9.0,1.43,6.88,4.96,698.11,262.92,1.13,435.31,9.86,65.27,47.13,0.0,1.57
2.84,3.94,2.35,9.0,1.04,7.14,4.59,553.62,163.69,0.99,297.53,10.02,62.97,50.05,0.0,0.42
2.84,3.2,3.18,9.0,1.04,7.31,4.55,536.28,144.51,0.94,279.99,10.01,62.99,49.34,0.0,0.4
2.84,3.94,2.35,9.0,1.63,3.14,4.77,575.81,163.57,1.0,320.58,9.8,62.76,48.58,0.0,0.87
2.84,3.94,2.35,9.0,1.04,7.14,4.96,637.71,229.04,1.11,378.95,9.97,63.9,48.98,0.0,1.14
2.84,2.49,7.89,9.0,1.04,6.37,5.13,644.23,228.13,1.05,381.9,9.93,64.91,47.94,0.0,1.42
2.84,2.4,2.35,9.0,0.98,7.14,5.34,655.14,243.62,1.11,399.31,9.82,63.15,48.85,0.0,1.6
2.36,3.94,2.35,9.0,1.04,3.96,5.35,616.03,211.79,1.09,358.02,9.87,63.64,48.78,0.0,1.46
2.03,3.94,2.35,9.0,1.77,4.83,4.94,552.33,145.31,0.97,298.27,9.76,62.53,48.18,0.0,1.0
2.84,4.34,5.17,9.0,0.91,5.06,4.85,644.35,243.89,1.14,384.85,9.91,64.11,48.6,0.0,1.2
4.03,3.94,2.35,9.0,0.58,4.83,4.76,521.25,145.28,0.93,266.9,10.09,62.44,50.79,14.0,4.0
3.43,1.59,7.39,9.0,1.9,4.83,5.25,748.2,288.19,1.16,486.58,9.44,65.09,45.37,0.0,2.37
2.84,3.94,2.35,9.0,1.04,4.83,4.65,558.31,164.26,0.99,302.98,10.0,62.77,49.1,0.0,0.6
2.84,3.94,2.35,9.0,0.97,5.67,4.67,626.45,217.04,1.07,366.01,9.96,64.38,48.51,0.0,0.93
2.98,3.94,8.4,9.0,1.04,4.83,4.76,574.24,178.68,1.04,319.2,10.01,62.67,50.29,0.0,0.59
2.84,3.94,6.23,9.0,0.77,4.83,4.81,544.4,162.39,0.98,289.28,10.03,62.71,50.18,7.0,4.0
2.31,3.94,2.35,9.0,0.97,5.52,5.29,773.32,344.58,1.24,509.22,9.79,66.16,46.57,0.0,2.27
2.1,3.94,6.77,9.0,0.97,5.67,5.02,501.43,124.84,0.9,246.26,10.08,62.8,50.13,0.0,0.55
2.84,3.94,5.47,9.0,0.97,5.67,4.42,478.21,105.45,0.86,224.14,10.1,62.42,50.76,0.0,-0.08
2.91,1.3,8.9,9.0,0.97,5.67,5.04,756.75,319.96,1.12,491.69,9.52,66.41,44.68,0.0,2.37
3.13,2.77,2.35,9.0,0.97,3.99,4.9,660.32,241.16,1.06,397.8,9.87,65.13,47.37,0.0,1.4
2.84,2.41,5.23,9.0,0.97,5.67,4.65,546.03,153.82,0.95,289.0,9.98,63.39,49.5,0.0,0.52
4.54,4.69,2.35,9.0,0.97,5.67,4.83,541.05,154.93,0.97,286.53,10.0,62.52,49.99,0.0,0.59
3.05,2.38,2.35,9.0,0.59,5.67,5.06,571.31,180.97,0.98,315.75,9.96,62.83,49.66,9.0,4.0
2.84,3.94,7.13,9.0,1.04,6.4,4.54,542.82,153.4,0.95,286.97,10.07,62.92,49.84,0.0,0.34
2.41,1.92,2.35,9.0,1.86,4.83,4.83,681.13,233.7,1.1,422.54,9.45,64.12,45.62,0.0,1.78
2.1,3.94,8.14,9.0,1.04,4.83,4.77,516.4,135.74,0.93,262.17,10.04,62.51,50.42,0.0,0.39
2.84,3.22,6.77,9.0,0.97,5.65,5.07,762.91,334.84,1.2,497.64,9.8,66.34,46.55,0.0,2.06
2.1,2.79,2.35,9.0,1.82,4.83,4.69,649.27,207.95,1.06,390.24,9.67,64.09,46.53,0.0,1.32
2.84,3.94,6.77,9.0,1.04,4.98,4.49,510.98,130.12,0.93,256.55,10.04,62.57,50.54,0.0,0.14
1.98,2.0,2.35,9.0,1.04,3.86,4.74,627.04,206.51,1.06,369.16,9.66,63.72,47.47,0.0,1.25
2.1,3.94,6.77,9.0,1.03,5.67,4.5,532.26,143.4,0.95,276.22,10.1,62.99,50.01,0.0,0.22
2.52,5.19,2.35,9.0,1.04,5.51,4.68,620.87,215.53,1.08,361.88,9.98,64.04,48.59,8.0,4.0
2.66,3.94,2.35,9.0,1.33,4.83,4.6,528.31,135.23,0.94,274.18,9.92,62.45,49.08,0.0,0.49
4.7,3.94,5.31,9.0,1.9,6.69,4.86,635.37,202.93,1.06,375.63,9.81,64.19,47.54,0.0,1.22
4.76,2.04,7.65,9.0,1.04,6.09,5.08,677.65,267.29,1.11,416.5,9.78,64.82,47.21,0.0,1.72
