minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness
4.22,2.67,8.5,9.0,1.13,4.04,4.66,623.71,211.22,1.01,354.93,10.35,66.7,48.57,0.0,0.65
4.86,4.19,8.5,9.0,0.92,3.22,4.3,500.17,131.1,0.9,235.02,10.81,64.86,52.42,0.0,-0.71
2.66,3.4,8.5,9.0,1.04,6.61,4.42,544.78,156.3,0.96,276.94,10.78,65.63,51.68,0.0,-0.41
2.47,4.19,8.5,9.0,1.86,6.61,4.78,570.48,137.29,1.0,306.78,10.33,64.69,50.04,0.0,0.27
3.79,5.47,8.5,9.0,1.23,6.61,4.4,520.36,128.89,0.92,250.21,10.97,66.11,52.75,0.0,-0.78
2.35,4.82,14.38,9.0,1.04,4.22,4.39,481.73,110.15,0.87,215.04,11.02,65.21,53.15,0.0,-0.94
3.9,3.14,13.1,9.0,1.04,6.61,4.41,503.56,129.48,0.88,237.41,10.83,65.26,52.06,0.0,-0.6
2.66,4.52,8.5,9.0,1.04,6.61,4.17,472.72,104.47,0.85,206.06,11.02,65.2,53.02,0.0,-1.12
1.31,2.2,8.5,9.0,0.73,4.66,4.31,446.86,89.4,0.81,188.22,10.55,63.3,51.59,32.0,4.0
2.66,3.4,5.98,9.0,0.9,6.61,4.24,454.66,95.21,0.82,190.4,10.9,64.73,53.21,0.0,-1.05
2.66,2.79,8.5,9.0,1.39,4.41,4.47,525.01,127.69,0.95,267.17,10.36,63.02,50.9,0.0,-0.13
2.66,1.61,3.82,9.0,1.66,6.61,5.44,772.11,277.81,1.19,508.12,9.44,65.6,44.67,0.0,2.56
2.7,3.4,8.26,9.0,1.04,6.61,4.77,509.45,131.34,0.91,244.95,10.82,64.69,52.55,0.0,-0.37
4.27,1.96,6.14,9.0,1.04,6.58,4.55,561.25,167.75,0.94,296.91,10.27,65.39,49.23,0.0,0.35
4.51,3.4,12.12,9.0,1.56,6.27,4.75,697.22,243.25,1.1,423.03,10.41,68.11,48.76,0.0,0.79
4.35,4.5,8.5,9.0,1.04,4.62,4.18,450.81,89.41,0.81,186.11,10.97,64.76,53.19,0.0,-1.17
2.66,3.4,8.5,9.0,1.5,6.61,4.39,524.49,123.12,0.92,259.97,10.54,64.86,50.91,0.0,-0.33
2.58,2.26,8.5,9.0,1.04,6.61,4.78,558.86,163.73,1.02,297.85,10.45,63.95,51.33,0.0,0.15
3.63,3.4,8.5,9.0,1.84,6.61,4.93,561.78,134.57,0.95,299.08,10.26,64.45,49.78,0.0,0.45
2.66,3.4,8.5,9.0,1.33,2.97,4.44,539.13,138.27,0.96,279.57,10.37,63.42,50.68,0.0,-0.09
2.22,3.4,8.5,9.0,1.04,6.05,4.56,474.74,107.74,0.88,213.32,10.84,63.95,53.23,0.0,-0.72
2.22,4.89,7.63,9.0,1.04,4.62,4.18,472.88,104.5,0.86,206.59,11.02,65.05,53.3,0.0,-1.15
3.19,4.79,8.5,9.0,1.04,4.62,4.21,477.13,109.51,0.86,212.48,10.98,64.72,53.59,0.0,-1.11
4.14,4.6,3.95,9.0,1.91,4.62,4.38,560.8,126.18,0.97,301.82,10.12,63.18,49.82,0.0,0.07
1.79,2.62,8.5,9.0,1.04,4.62,4.52,518.14,134.84,0.93,256.36,10.54,64.1,51.24,0.0,-0.22
3.38,5.51,8.5,9.0,1.04,7.82,4.1,461.15,96.94,0.82,192.05,11.13,65.85,53.45,0.0,-1.33
2.26,2.11,6.28,9.0,1.04,7.18,5.04,542.12,149.5,0.96,281.49,10.34,63.86,50.11,0.0,0.51
4.35,4.5,14.27,9.0,1.04,4.62,4.5,549.72,163.16,0.95,280.37,10.88,66.47,51.83,0.0,-0.39
4.35,3.06,8.5,9.0,1.04,3.28,5.01,663.24,258.36,1.15,399.17,10.3,64.97,50.36,0.0,0.93
3.58,5.51,10.56,9.0,1.75,7.8,4.24,510.98,109.5,0.9,246.87,10.65,64.6,51.42,0.0,-0.63
2.52,5.51,13.65,9.0,1.33,6.23,4.38,519.83,126.55,0.93,252.7,10.95,65.34,53.04,0.0,-0.83
3.19,4.01,12.12,9.0,1.04,2.68,4.37,470.31,101.56,0.85,207.25,10.76,64.31,52.65,0.0,-0.77
3.38,5.49,12.08,9.0,1.11,4.62,4.19,484.37,111.58,0.87,217.4,11.02,65.3,53.25,0.0,-1.1
3.26,2.5,11.97,9.0,0.69,7.82,4.71,531.01,171.06,0.98,269.23,10.75,64.04,52.52,25.0,4.0
3.19,5.51,8.5,9.0,1.02,5.46,4.44,513.59,137.69,0.94,246.44,11.01,65.33,53.71,0.0,-0.85
