minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness
2.23,2.26,14.73,9.0,1.35,5.84,5.15,583.56,167.07,1.04,320.63,10.31,64.58,50.17,0.0,0.51
3.11,5.66,8.93,9.0,1.01,5.84,4.35,530.91,151.4,0.97,261.56,11.03,65.95,52.54,0.0,-0.2
3.4,5.66,11.64,9.0,1.01,7.96,4.24,501.79,130.5,0.89,232.04,11.14,66.07,53.51,0.0,-0.38
2.23,5.66,14.73,9.0,0.92,5.84,4.24,470.28,109.79,0.85,202.36,11.21,65.47,53.45,0.0,-0.44
2.23,3.35,14.73,9.0,1.01,5.84,4.48,505.5,129.34,0.92,239.92,10.92,65.0,52.78,0.0,-0.18
2.23,4.31,9.48,9.0,1.53,5.84,4.87,485.91,100.14,0.9,225.94,10.66,63.61,52.14,0.0,0.03
2.23,4.72,14.73,9.0,1.17,6.25,4.99,512.45,128.85,0.92,244.54,11.0,65.59,52.83,0.0,-0.01
4.42,3.29,14.73,9.0,1.01,7.5,4.84,645.94,242.98,1.07,373.52,10.73,67.78,49.98,0.0,0.43
4.27,5.66,14.73,9.0,1.01,5.84,4.2,471.23,109.79,0.85,204.56,11.13,65.24,53.91,0.0,-0.46
2.46,2.19,14.6,9.0,1.8,5.2,4.76,603.22,159.18,1.04,343.54,9.97,63.93,48.28,0.0,0.56
2.58,3.57,14.73,9.0,1.01,7.78,4.49,487.57,119.09,0.9,223.12,11.0,64.69,53.61,0.0,-0.27
2.88,2.05,14.73,9.0,1.68,2.17,4.88,661.67,200.37,1.05,403.17,9.57,63.75,46.34,0.0,0.93
2.23,5.66,14.73,9.0,1.01,5.84,4.21,452.9,93.81,0.81,185.06,11.19,65.49,53.54,0.0,-0.48
2.23,5.66,13.31,9.0,1.56,5.84,4.88,520.0,119.38,0.93,256.29,10.75,64.54,51.84,0.0,0.07
4.7,3.96,5.11,9.0,1.01,7.58,4.57,562.72,176.06,1.0,294.92,10.77,65.66,52.34,0.0,0.03
2.23,4.99,14.73,9.0,0.95,4.97,4.55,553.61,172.74,1.01,283.68,11.03,66.09,52.84,0.0,-0.1
3.41,5.66,11.87,9.0,1.6,4.99,4.43,542.24,132.13,0.97,278.0,10.65,64.67,51.51,0.0,-0.03
2.05,2.86,14.77,9.0,1.56,2.61,4.94,553.53,136.91,0.97,295.3,10.12,63.23,49.57,0.0,0.46
2.23,2.79,13.31,9.0,1.56,5.8,5.7,603.29,173.56,1.06,338.37,10.31,65.11,50.0,0.0,0.75
2.23,4.48,13.31,9.0,1.26,5.84,4.37,497.54,113.07,0.89,229.45,10.94,65.67,52.85,0.0,-0.26
2.23,5.66,4.03,9.0,1.56,5.22,4.23,467.16,82.81,0.82,205.85,10.58,63.75,51.41,0.0,-0.18
1.81,5.66,13.31,9.0,1.56,5.84,4.28,493.73,113.45,0.89,231.63,10.77,64.02,52.18,0.0,-0.21
3.74,4.3,13.31,9.0,1.88,5.84,4.28,504.25,97.74,0.89,243.69,10.48,63.6,51.17,0.0,-0.09
3.31,4.22,13.31,9.0,1.22,5.78,4.94,558.55,159.9,1.02,289.89,10.83,65.77,52.7,0.0,0.1
2.23,5.66,8.5,9.0,1.01,5.98,4.59,461.53,98.01,0.84,194.1,11.13,65.38,53.48,0.0,-0.31
2.23,5.66,14.73,9.0,0.82,5.84,4.68,450.18,96.48,0.82,182.04,11.27,65.51,53.92,7.0,4.0
