minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness
2.75,3.61,10.25,9.0,1.6,7.82,4.43,467.89,108.06,0.84,204.65,10.72,64.54,52.65,0.0,-0.17
2.75,5.25,11.15,9.0,0.93,7.82,4.34,461.27,111.39,0.84,198.96,10.83,64.22,53.23,0.0,-0.27
3.38,2.46,8.41,9.0,1.89,7.82,5.1,554.33,166.13,0.97,289.61,10.51,65.22,50.6,0.0,0.4
3.37,5.25,5.8,9.0,0.93,7.82,4.49,487.56,130.76,0.88,225.01,10.8,64.43,52.69,0.0,-0.13
2.8,3.47,5.8,9.0,0.93,7.82,4.34,464.99,111.75,0.82,202.88,10.8,64.39,51.88,0.0,-0.18
2.75,4.79,7.53,9.0,1.4,7.82,4.36,491.16,127.17,0.88,228.2,10.74,64.57,52.19,0.0,-0.14
1.65,5.25,13.32,9.0,1.7,3.57,4.71,584.36,196.29,1.02,318.93,10.56,65.41,50.39,0.0,0.31
2.76,5.25,6.36,9.0,0.93,7.82,4.58,535.3,165.57,0.95,269.21,10.74,65.35,51.82,0.0,0.05
2.75,3.07,9.54,9.0,0.93,3.88,4.76,485.43,128.3,0.88,224.32,10.66,64.05,52.06,0.0,0.05
2.75,5.25,5.4,9.0,1.59,7.82,4.44,469.24,109.34,0.84,207.82,10.69,64.02,52.13,0.0,-0.12
4.03,2.46,8.41,9.0,1.89,7.58,4.48,475.27,112.08,0.87,215.78,10.54,63.51,52.46,0.0,-0.08
4.38,2.46,5.3,9.0,1.2,7.82,4.73,556.71,181.34,1.0,293.95,10.55,64.53,51.04,0.0,0.25
3.41,2.46,10.96,9.0,1.89,4.35,4.76,520.13,142.22,0.94,258.87,10.51,63.97,52.06,0.0,0.13
4.97,3.01,8.41,9.0,1.89,6.52,4.72,543.28,160.98,1.01,282.15,10.5,63.93,51.83,0.0,0.17
4.88,2.06,7.65,9.0,1.89,5.35,4.84,571.39,179.37,1.01,309.78,10.38,64.44,50.6,0.0,0.37
3.38,2.46,8.41,9.0,1.89,7.76,4.49,506.13,132.26,0.92,245.99,10.52,63.77,51.83,0.0,0.01
4.93,2.46,8.41,9.0,1.89,7.82,4.97,508.38,134.35,0.9,246.36,10.58,64.19,51.74,0.0,0.19
3.38,2.46,8.41,9.0,1.88,7.01,4.35,498.81,127.5,0.87,238.41,10.54,63.88,50.8,0.0,0.01
2.21,4.61,5.27,9.0,1.16,7.82,4.67,534.36,162.78,0.96,271.27,10.7,64.46,51.95,0.0,0.09
3.38,2.46,11.15,9.0,1.13,7.53,4.46,505.3,139.33,0.9,243.27,10.67,64.27,52.16,0.0,-0.05
2.75,5.25,9.33,9.0,0.93,7.82,4.5,507.97,146.94,0.92,245.41,10.83,64.3,52.83,0.0,-0.11
2.75,2.65,6.46,9.0,0.93,3.38,4.56,500.33,138.58,0.9,239.1,10.62,64.16,51.79,0.0,0.03
4.76,5.25,11.41,9.0,0.93,7.01,4.52,482.76,127.16,0.86,219.35,10.84,64.43,53.28,0.0,-0.17
3.38,5.07,8.86,9.0,1.88,7.82,4.52,535.82,150.89,0.94,270.9,10.6,65.05,51.32,0.0,0.07
3.38,4.15,8.41,9.0,1.65,7.01,4.48,544.01,159.55,0.94,277.31,10.62,65.8,50.5,0.0,0.12
3.38,2.46,11.49,9.0,1.88,5.47,4.81,468.03,104.66,0.83,205.87,10.58,64.28,51.2,0.0,0.1
1.76,3.06,11.15,9.0,1.52,7.82,4.58,512.08,140.78,0.92,249.75,10.66,64.43,52.08,0.0,0.01
2.75,3.24,12.06,9.0,1.39,5.73,4.52,457.25,103.96,0.84,197.86,10.68,63.54,52.7,0.0,-0.14
3.21,5.25,11.15,9.0,0.93,7.82,4.66,509.54,147.89,0.92,246.51,10.79,64.39,52.96,0.0,-0.04
3.83,5.25,11.15,9.0,1.88,7.82,4.32,477.14,113.44,0.87,216.05,10.66,63.9,52.75,0.0,-0.19
2.75,5.25,11.15,9.0,0.93,7.54,4.62,514.89,149.1,0.92,250.04,10.82,64.87,52.81,0.0,-0.05
2.75,2.85,6.23,9.0,1.62,3.39,4.57,502.83,133.69,0.91,242.41,10.52,63.79,51.76,0.0,0.05
2.75,5.25,11.15,9.0,0.93,7.82,4.89,510.18,146.55,0.91,244.95,10.81,65.36,52.05,0.0,0.1
2.75,5.76,11.15,9.0,0.93,3.15,4.63,519.57,152.7,0.92,254.28,10.79,65.27,52.15,0.0,0.01
2.95,3.23,6.26,9.0,0.93,5.58,4.4,495.63,135.09,0.88,232.1,10.72,64.7,52.11,0.0,-0.09
4.24,5.25,10.0,9.0,1.06,7.54,4.3,454.23,104.23,0.83,191.38,10.83,64.36,53.18,0.0,-0.3
2.75,5.25,11.15,9.0,0.93,6.49,4.67,577.05,203.3,1.03,311.57,10.71,65.26,51.82,0.0,0.18
2.75,1.58,11.4,9.0,0.91,7.1,4.84,618.32,225.48,1.05,350.15,10.48,66.38,49.64,1.0,4.0
1.91,3.13,5.55,9.0,0.93,7.54,4.54,534.0,164.95,0.95,270.14,10.67,64.88,51.41,1.0,4.0
1.48,5.25,8.65,9.0,0.91,7.82,4.46,478.14,123.07,0.85,213.59,10.84,65.04,52.42,0.0,-0.15
2.75,5.25,13.59,9.0,0.93,5.54,4.43,464.87,112.53,0.83,201.27,10.82,64.7,52.24,0.0,-0.17
2.33,2.57,11.15,9.0,1.04,7.82,5.05,552.75,178.91,0.99,287.89,10.63,65.14,51.66,0.0,0.31
4.24,3.0,10.0,9.0,1.06,2.85,4.89,492.22,131.22,0.9,230.2,10.65,64.22,52.34,0.0,0.1
