minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness
2.46,5.0,14.19,9.0,1.0,6.53,4.34,476.31,115.86,0.83,210.09,10.97,65.29,52.28,0.0,-0.24
4.59,5.0,6.98,9.0,1.0,6.53,4.34,485.56,124.95,0.87,223.14,10.88,64.18,53.0,0.0,-0.24
2.17,5.0,6.98,9.0,1.56,4.13,4.44,491.97,115.24,0.89,233.06,10.63,63.3,52.46,0.0,-0.11
4.45,5.23,14.48,9.0,1.14,6.53,4.49,543.9,165.65,0.96,276.41,10.79,65.86,51.66,0.0,0.01
4.45,2.51,6.92,9.0,1.0,6.53,4.43,474.84,119.36,0.87,216.26,10.6,63.34,52.27,0.0,-0.09
1.51,5.0,14.19,9.0,1.24,6.71,4.49,474.7,114.59,0.86,211.4,10.86,64.53,52.77,0.0,-0.18
2.46,5.02,6.98,9.0,1.76,6.53,4.48,538.21,145.49,0.97,276.53,10.52,64.08,51.45,0.0,0.06
2.46,3.71,6.98,9.0,1.09,6.53,4.57,603.86,204.83,1.06,330.77,10.66,67.61,50.1,0.0,0.26
1.51,5.04,14.19,9.0,1.0,6.53,4.56,492.91,132.45,0.88,228.22,10.94,64.8,52.41,0.0,-0.12
1.51,5.27,4.79,9.0,1.24,6.53,4.26,474.97,114.15,0.86,213.21,10.79,64.05,52.17,0.0,-0.22
2.02,5.0,12.44,9.0,1.57,6.99,4.99,559.59,158.72,0.98,293.21,10.67,65.46,51.2,0.0,0.26
1.51,5.57,6.98,9.0,1.0,7.1,4.44,497.54,133.82,0.89,231.6,10.92,65.15,52.84,0.0,-0.19
1.51,5.57,8.14,9.0,1.0,6.53,4.5,498.4,133.29,0.88,232.51,10.93,65.11,52.29,0.0,-0.13
1.51,5.57,6.98,9.0,1.47,2.15,4.46,532.2,155.27,0.97,272.45,10.53,63.56,51.29,0.0,0.08
1.51,1.47,14.48,9.0,1.0,6.53,4.78,587.78,191.4,1.0,322.93,10.3,65.44,49.03,0.0,0.49
3.7,1.7,7.91,9.0,1.15,6.53,5.17,572.34,185.28,1.0,310.31,10.32,64.61,49.98,0.0,0.56
1.51,5.57,8.35,9.0,1.0,6.53,4.32,454.77,101.76,0.81,190.91,10.97,64.68,52.22,0.0,-0.28
1.87,2.66,12.76,9.0,1.0,2.32,5.0,525.45,151.02,0.94,263.61,10.48,64.19,51.47,0.0,0.29
1.51,3.79,6.98,9.0,0.97,7.92,4.31,474.84,113.89,0.83,209.58,10.85,65.06,52.02,0.0,-0.21
2.7,4.8,6.98,9.0,1.0,5.36,4.93,495.1,132.48,0.91,232.62,10.8,64.25,53.12,0.0,0.02
4.12,1.98,5.07,9.0,1.0,6.53,4.65,575.95,189.87,0.99,310.57,10.42,65.43,50.14,0.0,0.33
1.51,5.57,13.6,9.0,1.0,6.53,4.44,483.1,125.08,0.87,219.09,10.93,64.57,52.99,0.0,-0.22
1.51,3.58,6.98,9.0,1.0,7.0,4.28,453.3,100.16,0.83,191.72,10.82,64.03,52.97,0.0,-0.3
2.89,3.15,6.98,9.0,0.97,3.23,4.62,514.98,145.49,0.92,253.19,10.6,64.17,51.72,0.0,0.07
1.86,5.57,6.98,9.0,1.46,6.53,4.49,519.54,141.27,0.92,256.34,10.74,64.52,51.71,0.0,-0.03
3.59,2.11,6.98,9.0,1.0,5.25,4.59,526.3,152.44,0.94,264.76,10.48,64.23,50.92,0.0,0.16
1.51,5.57,6.98,9.0,1.0,5.67,5.21,533.2,163.05,0.97,269.03,10.8,64.7,52.5,0.0,0.23
4.56,5.57,6.98,9.0,1.0,7.69,4.27,487.66,127.53,0.87,224.4,10.89,64.5,52.8,0.0,-0.25
1.51,5.57,6.98,9.0,1.07,6.53,4.42,534.16,159.13,0.95,267.16,10.84,65.5,52.35,0.0,-0.09
1.51,5.57,13.22,9.0,1.0,4.17,4.45,512.69,146.8,0.94,249.5,10.86,64.49,53.06,0.0,-0.15
2.77,1.76,4.83,9.0,1.24,6.91,4.54,505.38,129.62,0.9,246.92,10.33,63.38,51.01,0.0,0.14
1.51,4.65,10.09,9.0,1.0,3.16,4.77,463.49,105.34,0.84,199.48,10.83,64.64,52.75,0.0,-0.08
1.51,5.57,8.78,9.0,1.2,6.53,5.06,496.86,132.5,0.9,232.04,10.86,64.89,52.7,0.0,0.08
3.41,1.7,6.98,9.0,1.0,2.67,5.2,591.06,199.35,1.02,330.14,10.11,64.29,49.01,0.0,0.73
2.46,5.57,9.14,9.0,1.0,2.34,5.29,513.8,141.17,0.92,246.97,10.71,65.53,52.08,0.0,0.27
4.56,5.57,7.64,9.0,1.09,7.69,4.83,496.95,129.15,0.88,230.7,10.84,65.21,52.26,0.0,0.02
2.91,1.92,8.46,9.0,1.0,6.53,4.52,490.44,126.26,0.88,230.56,10.52,63.71,52.19,0.0,-0.01
1.51,5.57,6.98,9.0,1.76,6.03,4.51,533.8,153.21,0.95,270.53,10.61,64.48,51.06,0.0,0.08
2.85,5.57,11.17,9.0,1.0,7.6,4.3,465.85,110.28,0.85,202.19,10.95,64.47,53.14,0.0,-0.32
1.91,5.26,6.98,9.0,1.0,6.53,4.25,472.06,114.11,0.85,208.9,10.92,64.55,52.55,0.0,-0.28
2.64,2.72,6.98,9.0,1.0,6.53,4.56,519.36,145.76,0.93,254.42,10.66,65.2,51.46,0.0,0.05
3.1,1.67,6.98,9.0,1.81,5.53,4.8,620.86,196.33,1.07,360.75,10.06,64.02,48.84,0.0,0.59
2.21,5.57,9.94,9.0,1.0,6.53,4.58,560.7,181.11,0.99,291.57,10.81,66.26,51.57,0.0,0.08
1.51,5.57,6.98,9.0,1.0,4.02,4.57,503.9,137.71,0.91,240.09,10.82,64.58,53.01,0.0,-0.11
4.83,5.1,12.88,9.0,0.99,6.53,4.94,528.47,157.19,0.94,260.79,10.9,65.83,52.34,0.0,0.09
1.51,5.57,8.71,9.0,1.65,4.17,4.89,472.11,110.55,0.86,211.47,10.67,63.77,52.3,0.0,0.05
1.35,3.68,13.65,9.0,0.9,6.12,4.5,508.67,141.84,0.89,241.35,10.84,65.75,51.81,0.0,-0.06
2.48,5.57,6.98,9.0,1.81,7.22,4.51,573.8,164.68,1.02,309.27,10.59,64.74,51.2,0.0,0.11
4.8,5.24,6.98,9.0,1.59,6.53,4.52,520.41,138.41,0.93,258.36,10.66,64.28,51.93,0.0,-0.01
1.34,5.57,9.24,9.0,1.67,3.73,4.38,476.79,116.06,0.87,216.57,10.65,63.64,52.65,0.0,-0.15
1.51,5.57,6.98,9.0,1.68,6.53,4.42,545.78,164.6,0.97,281.72,10.65,64.65,51.73,0.0,0.02
1.73,5.57,6.98,9.0,1.54,6.64,4.51,507.06,135.46,0.92,246.69,10.68,63.71,52.69,0.0,-0.07
1.51,3.57,10.47,9.0,1.0,6.53,4.53,536.71,164.98,0.96,272.45,10.71,64.83,51.57,0.0,0.06
2.42,5.76,12.52,9.0,1.0,6.53,4.47,498.87,133.48,0.88,232.03,10.92,65.63,52.28,0.0,-0.14
1.51,5.57,14.57,9.0,1.14,4.56,5.07,464.78,107.59,0.85,200.3,10.92,64.8,53.2,0.0,-0.02
1.51,5.51,6.98,9.0,1.0,6.75,4.44,478.92,119.6,0.87,215.25,10.89,64.41,53.22,0.0,-0.23
3.15,3.7,6.98,9.0,1.78,6.53,4.72,542.43,148.18,1.0,283.7,10.46,63.35,51.46,0.0,0.18
1.51,5.57,10.65,9.0,1.0,6.53,4.64,506.52,139.68,0.91,240.65,10.92,65.18,52.82,0.0,-0.09
4.44,5.57,10.92,9.0,1.0,6.53,4.65,548.62,175.53,0.97,282.55,10.84,65.26,52.0,0.0,0.06
2.57,1.49,6.54,9.0,1.0,6.53,4.82,547.49,166.09,0.99,289.41,10.29,63.19,51.07,0.0,0.33
1.51,3.19,6.98,9.0,1.33,3.96,4.46,541.04,155.28,0.96,279.75,10.52,64.07,51.14,0.0,0.09
1.62,3.08,6.98,9.0,1.0,4.36,4.38,464.68,105.48,0.83,202.76,10.73,64.21,52.08,0.0,-0.16
1.51,3.91,6.52,9.0,1.57,5.31,4.54,519.81,133.67,0.9,255.39,10.58,64.82,51.01,0.0,0.07
2.19,5.26,6.98,9.0,1.0,3.48,4.4,480.18,118.03,0.83,214.13,10.79,65.37,51.51,0.0,-0.11
1.51,5.57,14.95,9.0,1.28,7.2,4.52,504.09,134.82,0.89,237.4,10.89,65.44,52.34,0.0,-0.11
1.51,5.57,5.11,9.0,1.0,6.53,4.34,477.44,116.89,0.85,212.5,10.87,65.04,51.99,0.0,-0.19
2.19,2.42,6.98,9.0,1.0,2.27,4.64,513.8,139.58,0.92,254.69,10.42,63.56,51.52,0.0,0.14
1.51,1.64,6.98,9.0,1.0,2.29,4.88,550.77,164.01,0.99,295.12,10.08,62.54,50.4,0.0,0.45
4.51,5.57,6.98,9.0,1.0,6.53,4.48,538.13,164.83,0.94,271.17,10.82,65.79,51.58,0.0,0.0
4.44,5.76,10.11,9.0,1.0,4.43,4.5,521.36,154.83,0.94,258.17,10.8,64.48,52.45,0.0,-0.06
2.42,4.21,12.52,9.0,1.0,7.33,4.82,476.3,117.89,0.85,211.7,10.87,64.9,52.15,0.0,-0.01
2.42,5.76,12.52,9.0,1.0,3.02,4.66,553.25,175.57,1.01,288.61,10.75,65.14,51.89,0.0,0.1
2.42,3.47,10.87,9.0,1.32,6.53,4.55,509.54,133.36,0.91,247.01,10.73,64.36,52.19,0.0,-0.05
