minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
1.82,5.16,11.29,9.0,1.71,3.64,4.28,496.2,108.15,0.88,236.02,10.5,63.53,51.18,0.0
2.2,4.22,7.19,9.0,1.71,2.83,4.34,534.96,117.56,0.94,276.08,10.22,63.27,49.91,0.0
2.2,5.16,5.07,9.0,0.76,5.86,4.52,454.28,95.44,0.81,185.72,11.11,65.73,52.8,12.0
2.2,3.39,6.54,9.0,1.67,2.9,4.45,574.97,141.24,0.98,313.84,10.06,63.97,49.02,0.0
2.2,4.4,5.07,9.0,1.63,3.64,4.29,515.05,110.86,0.91,255.86,10.32,63.29,50.54,0.0
3.02,2.47,10.63,9.0,1.71,7.18,4.65,635.24,186.39,1.02,371.63,10.16,65.04,48.54,0.0
4.77,1.62,7.19,9.0,1.1,3.64,5.05,754.29,310.84,1.12,487.16,9.72,66.59,45.9,0.0
2.2,4.88,5.07,9.0,1.71,3.47,4.58,513.99,106.47,0.91,256.76,10.3,62.67,50.53,0.0
4.68,4.22,6.42,9.0,0.59,2.51,4.14,462.81,110.36,0.82,196.99,10.84,64.91,52.24,15.0
2.96,5.16,7.19,9.0,1.53,2.83,4.65,496.61,102.72,0.89,237.12,10.43,63.32,51.08,0.0
4.54,5.16,5.07,9.0,1.71,2.56,4.4,505.31,102.32,0.92,251.8,10.19,61.65,51.16,0.0
2.2,5.16,14.05,9.0,1.71,3.64,4.4,505.56,103.09,0.88,241.96,10.53,64.38,51.25,0.0
2.2,3.32,5.07,9.0,1.71,6.3,4.18,489.8,93.1,0.87,232.62,10.31,62.78,50.38,0.0
4.44,1.62,5.07,9.0,1.71,3.64,4.87,706.65,211.35,1.04,446.89,9.37,64.15,45.14,0.0
4.08,4.85,4.28,9.0,0.5,7.37,4.19,440.06,98.93,0.8,173.13,11.19,65.25,53.65,81.0
3.8,2.04,5.07,9.0,1.71,3.64,4.98,701.75,228.0,1.09,442.1,9.57,64.25,46.1,0.0
4.03,5.16,5.07,9.0,1.71,3.64,4.25,515.47,109.83,0.91,258.27,10.29,62.63,50.67,0.0
2.2,2.47,5.07,9.0,1.84,4.52,4.75,494.66,90.47,0.9,244.7,9.89,60.74,50.02,0.0
2.52,1.51,5.07,9.0,1.71,3.64,4.93,670.18,194.61,1.07,412.76,9.31,63.66,45.05,0.0
2.2,4.48,5.07,9.0,1.71,3.64,4.33,481.98,89.07,0.88,227.68,10.3,61.94,51.02,0.0
2.2,2.72,5.07,9.0,1.71,3.64,4.51,588.62,147.02,1.01,329.56,9.86,63.57,47.95,0.0
2.21,3.86,10.72,9.0,1.84,7.33,4.36,506.9,102.29,0.9,247.01,10.48,63.52,50.95,0.0
2.25,2.31,9.22,9.0,1.87,3.85,4.78,633.19,171.31,1.07,375.06,9.82,63.43,47.87,0.0
2.2,4.82,8.23,9.0,1.71,3.64,4.28,474.33,83.87,0.84,214.09,10.44,63.52,51.14,0.0
2.15,5.16,5.23,9.0,1.71,3.64,4.2,480.14,86.41,0.85,220.53,10.37,63.46,50.32,0.0
2.2,5.16,6.66,9.0,1.02,3.64,4.29,479.47,108.99,0.87,215.02,10.93,64.62,52.93,0.0
2.2,2.22,6.46,9.0,1.71,6.5,4.74,574.42,144.02,1.01,318.66,9.97,62.63,48.75,0.0
3.9,5.16,5.07,9.0,1.02,5.53,4.04,456.72,90.64,0.8,188.82,11.01,65.61,52.91,0.0
2.15,5.16,7.63,9.0,1.24,2.75,4.31,516.85,124.82,0.93,254.03,10.69,64.19,52.52,0.0
2.15,4.32,13.79,9.0,1.87,4.73,4.42,571.58,133.73,0.98,306.06,10.39,65.34,49.87,0.0
2.85,5.16,11.52,9.0,0.88,3.64,4.57,468.23,107.34,0.85,201.21,11.07,65.25,53.25,0.0
4.29,3.94,6.32,9.0,1.64,3.64,4.43,577.3,150.19,0.99,315.41,10.23,64.11,49.95,0.0
3.01,5.16,5.23,9.0,1.91,3.64,4.94,573.91,137.31,1.03,316.41,10.12,62.74,49.98,0.0
2.15,5.31,5.23,9.0,1.71,3.64,4.37,490.45,94.79,0.89,231.67,10.4,63.01,51.31,0.0
2.15,4.64,5.23,9.0,1.47,2.53,4.23,524.13,119.88,0.92,266.48,10.31,62.86,50.3,0.0
2.15,3.94,10.64,9.0,1.71,3.64,4.69,487.71,94.49,0.88,230.47,10.4,62.83,51.04,0.0
2.36,5.24,4.72,9.0,1.47,4.82,4.44,499.21,107.48,0.92,239.81,10.62,63.29,52.59,0.0
