,edge,flow,density
255,-16725685#2,7.42,0.56
256,-16725685#3,8.24,0.27
257,-16725685#4,9.89,0.43
258,-16725685#5,7.42,1.28
259,-16725685#6,5.77,0.38
260,-16725685#7,5.77,0.22
261,-16725685#9,5.77,0.18
262,-16725686#0,4.12,0.1
263,-16725686#1,3.3,0.18
264,-16725686#2,4.12,0.22
265,-16725686#3,4.12,0.11
266,-16725686#4,3.3,0.13
267,-16725686#5,5.77,0.21
268,-16725686#6,38.75,1.46
269,-16725686#7,3.3,0.15
270,-16725686#8,1.65,0.11
271,-16725743#0,7.42,0.42
272,-16725743#1,7.42,0.18
273,-16725789#0,18.96,0.5
274,-16725789#1,20.61,0.5
275,-16725789#2,23.91,0.81
276,-16725789#3,23.08,0.53
277,-16725789#4,22.26,0.98
278,-16725824#0,7.42,0.21
279,-16725824#1,0.0,0.02
280,-16726029#0,0.0,0.02
281,-16726037,0.82,0.02
282,-16726039#1,0.82,0.11
283,-16726039#2,0.0,0.03
284,-16726056,0.82,0.03
285,-16726058,18.96,0.73
286,-16726164#0,4.95,0.23
287,-16726164#1,6.59,0.22
288,-16726164#10,4.95,0.17
289,-16726164#11,2.47,0.16
290,-16726164#12,1.65,0.23
291,-16726164#2,9.07,0.31
292,-16726164#3,9.07,0.56
293,-16726164#4,10.72,0.31
294,-16726164#5,12.37,0.38
295,-16726164#6,9.89,0.21
296,-16726164#7,11.54,0.32
297,-16726164#9,11.54,0.44
298,-16726339#0,0.0,0.06
299,-16726339#1,3.3,0.09
300,-16726341#0,0.82,0.06
301,-16726341#1,0.0,0.04
302,-16726341#2,2.47,0.22
303,-16726341#3,4.95,0.2
304,-16726354#0,2.47,0.09
305,-16726354#1,2.47,0.12
306,-16726354#2,1.65,0.11
307,-16726354#3,0.0,0.04
308,-16726515#0,4.12,0.24
309,-16726515#1,1.65,0.06
310,-16726669#0,0.82,0.05
311,-16726669#1,0.0,0
312,-16726716#0,9.07,0.35
313,-16726716#1,4.12,0.15
314,-16726729,0.0,0.06
315,-16726731#0,7.42,0.35
316,-16726731#1,4.95,0.2
317,-16726731#2,0.82,0.1
318,-16726731#3,1.65,0.06
319,-16726800#1,7.42,0.92
320,-16726800#2,4.12,0.24
321,-16726800#3,4.12,0.12
322,-16726800#4,8.24,0.33
323,-16726800#5,5.77,0.15
324,-16726822#0,2.47,0.08
325,-16726822#1,0.0,0.06
326,-16726822#2,4.12,0.13
327,-16726822#3,4.12,0.11
328,-16726822#4,2.47,0.24
329,-16726822#5,2.47,0.07
330,-16726822#6,2.47,0.07
331,-16726822#7,0.0,0
332,-16726825#0,2.47,0.1
333,-16726825#1,4.95,0.15
334,-16726825#2,1.65,0.06
335,-16726825#3,4.12,0.22
336,-16727006,7.42,0.16
337,-16727064,1.65,0.07
338,-16727085#10,7.42,12.52
339,-16727085#11,9.07,0.35
340,-16727085#12,12.37,0.4
341,-16727085#2,3.3,0.09
342,-16727085#3,0.82,0.06
343,-16727085#4,0.82,0.03
344,-16727085#5,1.65,0.08
345,-16727085#6,4.12,0.17
346,-16727085#7,0.82,0.14
347,-16727085#8,0.82,0.08
348,-16727085#9,7.42,0.24
349,-16727114#0,5.77,0.37
350,-16727114#1,4.95,0.14
351,-16727114#2,1.65,0.06
352,-16727204#1,0.0,0.07
353,-16727209#0,5.77,0.26
354,-16727209#1,1.65,0.1
355,-16727255#1,3.3,0.09
356,-16727255#2,0.82,0.04
357,-16727273#0,1.65,0.05
358,-16727273#1,0.0,0.03
359,-16727273#2,2.47,0.12
360,-16727358#0,25.56,1.5
361,-16727358#1,10.72,0.44
362,-16727358#2,8.24,1.52
363,-16727358#3,8.24,0.3
364,-16727358#4,8.24,0.91
365,-16727358#5,7.42,0.16
366,-16727394#0,0.82,0.09
367,-16727394#1,5.77,0.21
368,-16727394#2,14.84,0.42
369,-16727394#3,14.84,0.55
370,-16727394#4,28.03,0.93
371,-16727400#0,0.82,0.02
372,-16727400#1,2.47,0.06
373,-16727400#2,7.42,0.22
374,-16727462#0,0.82,0.08
375,-16727462#1,0.0,0.14
376,-16727485#0,7.42,0.23
377,-16727485#1,6.59,0.2
378,-16727500,5.77,0.26
379,-16727655#1,2.47,0.08
380,-16727655#2,2.47,0.05
381,-16727655#3,2.47,0.06
382,-16727655#4,37.1,1.24
383,-16727700#0,6.59,0.14
384,-16727700#1,1.65,0.03
385,-16727700#2,4.95,0.15
386,-16727700#3,6.59,0.16
387,-16727721,1.65,0.04
388,-16727879,0.0,0.13
389,-16727910#0,2.47,0.12
390,-16727910#1,2.47,0.07
391,-16727910#2,12.37,0.47
392,-16727910#4,9.89,0.27
393,-16727910#5,9.07,0.51
394,-16727910#6,0.0,0.12
395,-16727930#0,8.24,0.5
396,-16727930#1,6.59,0.17
397,-16727930#2,4.12,0.19
398,-16727930#3,0.82,0.05
399,-16728002#1,2.47,0.07
400,-16728002#2,1.65,0.13
401,-16728002#3,4.12,0.21
402,-16728002#4,2.47,0.1
403,-16728002#5,4.12,0.22
404,-16728003,35.45,0.79
405,-16728072#0,18.14,1.02
406,-16728072#1,18.14,0.59
407,-16728072#2,11.54,0.71
408,-16728219,0.0,0
409,-16728291#0,3.3,0.19
410,-16728291#1,0.82,0.04
411,-16728291#2,0.0,0
412,-16728361#0,0.0,0
413,-16728361#1,0.0,0
414,-16728415#0,0.82,0.02
415,-16728415#1,0.0,0.05
416,-16728487,0.82,0.02
417,-16728488#0,4.12,0.14
418,-16728488#1,3.3,0.11
419,-16728507#0,4.95,0.11
420,-16728507#1,2.47,0.09
421,-16728507#2,6.59,0.16
422,-16728507#3,9.89,0.3
423,-16728507#4,1.65,0.05
424,-16728507#5,0.0,0
425,-16728512,0.0,0.21
426,-16728602#0,6.59,0.3
427,-16728602#1,26.38,1.05
428,-16728602#2,30.5,0.75
429,-16728602#3,32.97,5.21
430,-16728602#4,33.8,1.16
431,-16728602#5,32.97,0.81
432,-16728602#6,32.97,0.78
433,-16728602#7,42.04,1.16
434,-16728608,0.0,0.13
435,-16728645#0,8.24,0.31
436,-16728645#1,7.42,0.22
