,edge,flow,density
202,-16724403#5,11.06,0.28
203,-16724405#0,2.37,0.05
204,-16724405#1,9.48,0.32
205,-16724405#2,18.16,0.44
206,-16724412#0,10.27,0.62
207,-16724412#1,10.27,0.28
208,-16724429#0,0.0,0
209,-16724429#1,2.37,0.22
210,-16724433#0,21.32,0.55
211,-16724433#1,16.58,0.53
212,-16724433#2,11.84,0.27
213,-16724433#3,9.48,0.28
214,-16724492#1,0.79,0.07
215,-16724850#0,18.95,0.5
216,-16724850#1,18.95,0.45
217,-16724850#2,16.58,0.59
218,-16724850#3,14.21,0.36
219,-16724850#4,11.06,0.42
220,-16724850#5,7.9,0.32
221,-16724850#6,0.0,0.15
222,-16724882#0,3.95,0.12
223,-16724882#1,1.58,0.08
224,-16724882#2,5.53,0.25
225,-16724882#4,2.37,0.07
226,-16724882#5,0.0,0.05
227,-16724923#0,1.58,0.07
228,-16724923#2,1.58,0.07
229,-16724923#3,0.79,0.02
230,-16725296#0,8.69,0.47
231,-16725296#1,6.32,0.27
232,-16725296#2,6.32,0.24
233,-16725296#3,4.74,0.14
234,-16725296#4,4.74,0.12
235,-16725296#5,3.95,0.24
236,-16725296#6,6.32,0.23
237,-16725296#7,6.32,0.17
238,-16725409#1,8.69,0.41
239,-16725409#2,4.74,0.13
240,-16725409#3,3.95,0.11
241,-16725413#0,9.48,0.22
242,-16725413#1,7.11,0.33
243,-16725413#2,0.0,0.08
244,-16725432#0,6.32,0.14
245,-16725432#1,11.06,0.4
246,-16725432#2,8.69,0.24
247,-16725555#0,0.0,0
248,-16725555#1,0.0,0
249,-16725555#2,0.0,0
250,-16725555#3,0.0,0
251,-16725685#0,7.9,0.7
252,-16725685#1,7.11,0.26
253,-16725685#10,2.37,0.07
254,-16725685#12,0.0,0.05
255,-16725685#2,7.11,0.52
256,-16725685#3,7.9,0.25
257,-16725685#4,9.48,0.4
258,-16725685#5,7.11,1.36
259,-16725685#6,5.53,0.35
260,-16725685#7,5.53,0.21
261,-16725685#9,5.53,0.17
262,-16725686#0,3.95,0.1
263,-16725686#1,3.16,0.17
264,-16725686#2,3.95,0.2
265,-16725686#3,3.95,0.11
266,-16725686#4,3.16,0.12
267,-16725686#5,5.53,0.2
268,-16725686#6,37.11,1.37
269,-16725686#7,3.16,0.14
270,-16725686#8,1.58,0.1
271,-16725743#0,7.11,0.38
272,-16725743#1,7.11,0.17
273,-16725789#0,18.16,0.47
274,-16725789#1,19.74,0.47
275,-16725789#2,22.9,0.77
276,-16725789#3,22.11,0.5
277,-16725789#4,21.32,0.94
278,-16725824#0,7.11,0.19
279,-16725824#1,0.0,0.02
280,-16726029#0,0.0,0.02
281,-16726037,0.79,0.02
282,-16726039#1,0.79,0.1
283,-16726039#2,0.0,0.03
284,-16726056,0.79,0.02
285,-16726058,18.16,0.66
286,-16726164#0,4.74,0.21
287,-16726164#1,6.32,0.21
288,-16726164#10,4.74,0.16
289,-16726164#11,2.37,0.15
290,-16726164#12,1.58,0.2
291,-16726164#2,8.69,0.3
292,-16726164#3,8.69,0.52
293,-16726164#4,10.27,0.29
294,-16726164#5,11.84,0.36
295,-16726164#6,9.48,0.2
296,-16726164#7,11.06,0.31
297,-16726164#9,11.06,0.41
298,-16726339#0,0.0,0.06
299,-16726339#1,3.16,0.08
300,-16726341#0,0.79,0.06
301,-16726341#1,0.0,0.04
302,-16726341#2,2.37,0.17
303,-16726341#3,4.74,0.19
304,-16726354#0,2.37,0.09
305,-16726354#1,2.37,0.11
306,-16726354#2,1.58,0.1
307,-16726354#3,0.0,0.04
308,-16726515#0,3.95,0.22
309,-16726515#1,1.58,0.05
310,-16726669#0,0.79,0.04
311,-16726669#1,0.0,0
312,-16726716#0,8.69,0.33
313,-16726716#1,3.95,0.14
314,-16726729,0.0,0.06
315,-16726731#0,7.11,0.32
316,-16726731#1,4.74,0.18
317,-16726731#2,0.79,0.09
318,-16726731#3,1.58,0.05
319,-16726800#1,7.11,0.9
320,-16726800#2,3.95,0.21
321,-16726800#3,3.95,0.11
322,-16726800#4,7.9,0.31
323,-16726800#5,5.53,0.14
324,-16726822#0,2.37,0.07
325,-16726822#1,0.0,0.05
326,-16726822#2,3.95,0.14
327,-16726822#3,3.95,0.1
328,-16726822#4,2.37,0.2
329,-16726822#5,2.37,0.07
330,-16726822#6,2.37,0.07
331,-16726822#7,0.0,0
332,-16726825#0,2.37,0.09
333,-16726825#1,4.74,0.15
334,-16726825#2,1.58,0.05
335,-16726825#3,3.95,0.21
336,-16727006,7.11,0.15
337,-16727064,1.58,0.06
338,-16727085#10,7.11,11.79
339,-16727085#11,8.69,0.33
340,-16727085#12,11.84,0.37
341,-16727085#2,3.16,0.08
342,-16727085#3,0.79,0.06
343,-16727085#4,0.79,0.02
344,-16727085#5,1.58,0.08
345,-16727085#6,3.95,0.16
346,-16727085#7,0.79,0.13
347,-16727085#8,0.79,0.08
348,-16727085#9,7.11,0.22
349,-16727114#0,5.53,0.35
350,-16727114#1,4.74,0.13
351,-16727114#2,1.58,0.06
352,-16727204#1,0.0,0.06
353,-16727209#0,5.53,0.23
354,-16727209#1,1.58,0.09
355,-16727255#1,3.16,0.09
356,-16727255#2,0.79,0.04
357,-16727273#0,1.58,0.05
358,-16727273#1,0.0,0.03
359,-16727273#2,2.37,0.11
360,-16727358#0,24.48,1.31
361,-16727358#1,10.27,0.4
362,-16727358#2,7.9,1.34
363,-16727358#3,7.9,0.27
364,-16727358#4,7.9,0.95
365,-16727358#5,7.11,0.15
366,-16727394#0,0.79,0.08
367,-16727394#1,5.53,0.19
368,-16727394#2,14.21,0.39
369,-16727394#3,14.21,0.51
370,-16727394#4,26.85,0.86
371,-16727400#0,0.79,0.02
372,-16727400#1,2.37,0.06
373,-16727400#2,7.11,0.21
374,-16727462#0,0.79,0.07
375,-16727462#1,0.0,0.13
376,-16727485#0,7.11,0.21
377,-16727485#1,6.32,0.19
378,-16727500,5.53,0.24
379,-16727655#1,2.37,0.07
380,-16727655#2,2.37,0.05
381,-16727655#3,2.37,0.05
382,-16727655#4,35.53,1.15
383,-16727700#0,6.32,0.13
384,-16727700#1,1.58,0.03
385,-16727700#2,4.74,0.14
386,-16727700#3,6.32,0.15
387,-16727721,1.58,0.03
388,-16727879,0.0,0.12
389,-16727910#0,2.37,0.15
390,-16727910#1,2.37,0.07
391,-16727910#2,11.84,0.42
392,-16727910#4,9.48,0.25
393,-16727910#5,8.69,0.46
394,-16727910#6,0.0,0.12
395,-16727930#0,7.9,0.46
396,-16727930#1,6.32,0.16
397,-16727930#2,3.95,0.18
398,-16727930#3,0.79,0.04
399,-16728002#1,2.37,0.06
