,edge,flow,density
276,-16725789#3,22.77,0.53
277,-16725789#4,21.96,1.05
278,-16725824#0,7.32,0.2
279,-16725824#1,0.0,0.02
280,-16726029#0,0.0,0.02
281,-16726037,0.81,0.02
282,-16726039#1,0.81,0.1
283,-16726039#2,0.0,0.03
284,-16726056,0.81,0.02
285,-16726058,18.71,0.61
286,-16726164#0,4.88,0.17
287,-16726164#1,6.51,0.21
288,-16726164#10,4.88,0.16
289,-16726164#11,2.44,0.15
290,-16726164#12,1.63,0.23
291,-16726164#2,8.95,0.29
292,-16726164#3,8.95,0.53
293,-16726164#4,10.57,0.29
294,-16726164#5,12.2,0.37
295,-16726164#6,9.76,0.21
296,-16726164#7,11.39,0.31
297,-16726164#9,11.39,0.37
298,-16726339#0,0.0,0.06
299,-16726339#1,3.25,0.08
300,-16726341#0,0.81,0.05
301,-16726341#1,0.0,0.03
302,-16726341#2,2.44,0.22
303,-16726341#3,4.88,0.19
304,-16726354#0,2.44,0.09
305,-16726354#1,2.44,0.13
306,-16726354#2,1.63,0.08
307,-16726354#3,0.0,0.04
308,-16726515#0,4.07,0.19
309,-16726515#1,1.63,0.06
310,-16726669#0,0.81,0.05
311,-16726669#1,0.0,0
312,-16726716#0,8.95,0.32
313,-16726716#1,4.07,0.15
314,-16726729,0.0,0.06
315,-16726731#0,7.32,0.29
316,-16726731#1,4.88,0.15
317,-16726731#2,0.81,0.08
318,-16726731#3,1.63,0.05
319,-16726800#1,7.32,0.78
320,-16726800#2,4.07,0.17
321,-16726800#3,4.07,0.11
322,-16726800#4,8.13,0.28
323,-16726800#5,5.69,0.15
324,-16726822#0,2.44,0.07
325,-16726822#1,0.0,0.06
326,-16726822#2,4.07,0.11
327,-16726822#3,4.07,0.11
328,-16726822#4,2.44,0.26
329,-16726822#5,2.44,0.07
330,-16726822#6,2.44,0.06
331,-16726822#7,0.0,0
332,-16726825#0,2.44,0.08
333,-16726825#1,4.88,0.15
334,-16726825#2,1.63,0.06
335,-16726825#3,4.07,0.21
336,-16727006,7.32,0.16
337,-16727064,1.63,0.06
338,-16727085#10,7.32,12.28
339,-16727085#11,8.95,0.3
340,-16727085#12,12.2,0.38
341,-16727085#2,3.25,0.09
342,-16727085#3,0.81,0.06
343,-16727085#4,0.81,0.03
344,-16727085#5,1.63,0.07
345,-16727085#6,4.07,0.16
346,-16727085#7,0.81,0.12
347,-16727085#8,0.81,0.07
348,-16727085#9,7.32,0.22
349,-16727114#0,5.69,0.31
350,-16727114#1,4.88,0.14
351,-16727114#2,1.63,0.06
352,-16727204#1,0.0,0.06
353,-16727209#0,5.69,0.23
354,-16727209#1,1.63,0.1
355,-16727255#1,3.25,0.09
356,-16727255#2,0.81,0.04
357,-16727273#0,1.63,0.05
358,-16727273#1,0.0,0.03
359,-16727273#2,2.44,0.11
360,-16727358#0,25.21,1.24
361,-16727358#1,10.57,0.44
362,-16727358#2,8.13,1.47
363,-16727358#3,8.13,0.28
364,-16727358#4,8.13,0.93
365,-16727358#5,7.32,0.16
366,-16727394#0,0.81,0.08
367,-16727394#1,5.69,0.18
368,-16727394#2,14.64,0.39
369,-16727394#3,14.64,0.52
370,-16727394#4,27.65,0.81
371,-16727400#0,0.81,0.02
372,-16727400#1,2.44,0.06
373,-16727400#2,7.32,0.21
374,-16727462#0,0.81,0.07
375,-16727462#1,0.0,0.12
376,-16727485#0,7.32,0.19
377,-16727485#1,6.51,0.2
378,-16727500,5.69,0.23
379,-16727655#1,2.44,0.07
380,-16727655#2,2.44,0.05
381,-16727655#3,2.44,0.06
382,-16727655#4,36.6,1.2
383,-16727700#0,6.51,0.14
384,-16727700#1,1.63,0.03
385,-16727700#2,4.88,0.14
386,-16727700#3,6.51,0.16
387,-16727721,1.63,0.04
388,-16727879,0.0,0.13
389,-16727910#0,2.44,0.1
390,-16727910#1,2.44,0.07
391,-16727910#2,12.2,0.39
392,-16727910#4,9.76,0.27
393,-16727910#5,8.95,0.57
394,-16727910#6,0.0,0.12
395,-16727930#0,8.13,0.4
396,-16727930#1,6.51,0.16
397,-16727930#2,4.07,0.2
398,-16727930#3,0.81,0.05
399,-16728002#1,2.44,0.06
400,-16728002#2,1.63,0.13
401,-16728002#3,4.07,0.18
402,-16728002#4,2.44,0.1
403,-16728002#5,4.07,0.19
404,-16728003,34.98,0.76
405,-16728072#0,17.89,0.91
406,-16728072#1,17.89,0.58
407,-16728072#2,11.39,0.77
408,-16728219,0.0,0
409,-16728291#0,3.25,0.17
410,-16728291#1,0.81,0.05
411,-16728291#2,0.0,0
412,-16728361#0,0.0,0
413,-16728361#1,0.0,0
414,-16728415#0,0.81,0.02
415,-16728415#1,0.0,0.05
416,-16728487,0.81,0.02
417,-16728488#0,4.07,0.12
418,-16728488#1,3.25,0.12
419,-16728507#0,4.88,0.1
420,-16728507#1,2.44,0.09
421,-16728507#2,6.51,0.15
422,-16728507#3,9.76,0.28
423,-16728507#4,1.63,0.05
424,-16728507#5,0.0,0
425,-16728512,0.0,0.19
426,-16728602#0,6.51,0.27
427,-16728602#1,26.03,0.81
428,-16728602#2,30.09,0.75
429,-16728602#3,32.54,4.51
430,-16728602#4,33.35,1.09
431,-16728602#5,32.54,0.82
432,-16728602#6,32.54,0.78
433,-16728602#7,41.48,1.1
434,-16728608,0.0,0.1
435,-16728645#0,8.13,0.25
436,-16728645#1,7.32,0.21
437,-16728645#2,6.51,0.23
438,-16728645#3,10.57,0.35
439,-16728645#4,6.51,0.24
440,-16728645#5,7.32,0.2
441,-16728645#6,5.69,0.17
442,-16728645#7,0.0,0.05
443,-16728656,2.44,0.06
444,-16728658,0.0,0.16
445,-16728790#1,6.51,0.26
446,-16728790#2,1.63,0.09
447,-16728814#0,4.07,0.11
448,-16728814#1,4.07,0.13
449,-16728814#2,0.0,0.02
450,-16728892#0,17.08,0.52
451,-16729035#0,2.44,0.06
452,-16729035#1,1.63,0.04
453,-16729095#0,1.63,0.04
454,-16729095#1,0.0,0
455,-16729162#0,5.69,0.16
456,-16729162#1,15.45,0.56
457,-16729162#2,0.0,0.03
458,-16729162#3,8.13,0.24
459,-16729162#4,6.51,0.21
460,-16729162#5,4.07,0.17
461,-16729162#6,0.0,0.07
462,-16729237#0,0.0,0
463,-16729237#1,0.0,0.12
464,-16729306#0,0.0,0
465,-16729306#1,0.0,0
466,-16729324#0,8.13,0.93
467,-16729324#1,7.32,0.29
468,-16729324#2,5.69,0.44
469,-16729324#3,5.69,0.18
470,-16729340,2.44,0.09
471,-16729384#1,0.81,0.03
472,-16729384#2,4.07,0.19
473,-16729389#0,0.0,0
474,-16729389#1,0.0,0
475,-16729398#0,1.63,0.07
476,-16729398#1,3.25,0.18
477,-16729399#0,13.83,0.44
478,-16729399#1,13.83,0.46
479,-16729399#2,11.39,0.28
480,-16729399#3,6.51,0.22
481,-16729399#4,0.0,0.03
482,-16729442#1,4.88,0.15
483,-16729442#2,8.13,0.53
484,-16729442#3,8.13,0.23
485,-16729442#4,5.69,0.18
486,-16729442#5,4.88,0.17
487,-16729624#1,43.92,0.83
488,-16729624#10,105.74,1.84
489,-16729624#11,108.99,1.83
490,-16729624#12,104.93,1.62
491,-16729624#13,103.3,1.56
492,-16729624#14,104.11,1.65
493,-16729624#15,104.93,1.65
494,-16729624#16,95.16,2.39
495,-16729624#17,13.01,0.3
496,-16729624#2,62.63,1.47
497,-16729624#3,65.07,1.03
498,-16729624#4,69.14,1.08
499,-16729624#5,73.2,4.16
500,-16729624#6,75.64,1.25
501,-16729624#7,75.64,1.65
502,-16729624#8,95.16,3.17
503,-16729624#9,92.72,1.33
504,-16729641#0,0.0,0.06
505,-16729641#1,1.63,4.53
506,-16729665#0,5.69,0.14
507,-16729665#1,1.63,0.1
508,-16729754,9.76,0.32
509,-16729764#0,12.2,0.31
510,-16729764#1,12.2,0.62
511,-16729764#2,13.01,0.33
512,-16729764#3,13.83,0.37
513,-16729766#0,1.63,0.03
514,-16729766#1,0.0,0.02
515,-16729791#0,9.76,0.28
516,-16729791#1,9.76,0.22
517,-16729794#1,21.15,2.04
518,-16729794#2,21.15,1.59
519,-16729794#3,17.89,1.92
520,-16729794#4,10.57,0.58
521,-16729794#5,15.45,1.71
522,-16729803,0.81,0.02
523,-16729852,3.25,0.1
524,-170301672#0,7.32,0.2
525,-170301672#1,0.0,0
526,-170301674#0,28.47,0.58
527,-170301674#1,37.42,0.72
528,-170301674#2,44.74,0.89
529,-170301674#3,45.55,1.07
530,-170301685#0,5.69,0.15
531,-170301685#1,10.57,0.42
532,-171004421#0,101.67,3.36
533,-171004421#1,108.18,2.34
534,-171004421#2,107.37,2.71
535,-171004421#3,95.98,1.98
536,-171004421#5,108.99,2.84
537,-171004421#7,111.43,2.93
538,-171004421#8,113.87,3.26
539,-171004796#0,46.36,1.7
540,-171004796#1,44.74,0.95
541,-171004796#2,43.11,0.91
542,-171004796#5,42.3,0.9
543,-171004796#6,40.67,0.85
544,-171004796#9,41.48,30.79
545,-171294543#0,0.81,0.03
546,-171294543#1,3.25,0.08
547,-171294543#2,0.0,0.06
548,-171294549#0,1.63,0.05
549,-171294549#1,2.44,0.06
550,-171294549#2,5.69,0.15
551,-171294549#3,2.44,0.16
552,-171294549#4,0.81,0.13
553,-171294553#0,0.81,0.17
554,-171294553#1,3.25,0.16
555,-171294553#2,3.25,0.16
