minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
2.26,4.46,10.07,9.0,0.88,5.85,4.26,458.23,100.23,0.82,191.79,11.12,65.12,53.22,0.0
2.93,5.7,10.07,9.0,0.88,3.47,4.22,488.7,121.87,0.87,220.21,11.07,65.62,53.13,0.0
2.94,3.68,10.07,9.0,1.03,2.99,4.35,494.69,117.44,0.87,229.66,10.69,64.91,51.35,0.0
2.94,3.83,6.35,9.0,1.71,4.5,4.5,588.74,153.67,1.02,324.23,10.25,64.94,49.6,0.0
2.94,4.06,10.07,9.0,0.88,4.65,4.35,488.71,121.97,0.86,220.43,10.95,65.89,52.1,0.0
2.21,3.72,10.07,9.0,1.94,5.74,4.33,533.41,110.44,0.94,272.25,10.3,63.95,49.84,0.0
2.21,5.75,14.05,9.0,0.88,4.66,4.43,494.43,127.01,0.87,223.68,11.2,66.46,52.95,0.0
2.21,2.83,11.46,9.0,0.88,4.66,4.48,504.03,132.29,0.91,240.82,10.71,64.41,51.97,0.0
4.68,5.12,13.37,9.0,0.88,6.96,4.25,478.6,120.24,0.87,210.89,11.15,65.44,53.86,0.0
4.2,5.18,10.07,9.0,0.88,4.66,4.4,569.66,186.98,1.0,298.05,10.97,66.96,52.12,0.0
2.21,5.18,12.82,9.0,0.57,4.03,4.7,433.83,87.9,0.79,165.45,11.29,65.54,53.88,86.0
2.21,4.46,10.07,9.0,1.94,5.74,4.37,531.55,110.27,0.92,268.22,10.39,64.49,50.46,0.0
2.25,4.36,6.42,9.0,0.88,5.85,4.18,465.34,103.66,0.85,200.02,11.03,64.93,53.25,0.0
2.26,3.79,11.72,9.0,0.88,6.08,4.27,461.26,101.8,0.83,194.84,11.05,65.13,52.79,0.0
3.24,1.69,10.07,9.0,0.68,5.85,4.85,553.31,180.49,0.97,295.37,10.28,63.31,50.98,10.0
4.75,3.72,10.07,9.0,1.0,5.85,4.39,477.36,115.65,0.88,214.92,10.93,64.2,53.86,0.0
2.24,4.46,8.93,9.0,0.88,5.74,5.3,468.24,107.67,0.86,201.38,11.07,65.21,53.6,0.0
2.25,4.48,6.42,9.0,0.88,6.93,4.04,444.75,87.41,0.8,177.84,11.09,65.25,53.25,0.0
2.24,4.36,6.97,9.0,0.95,5.83,4.21,482.87,116.49,0.89,218.66,11.03,64.66,53.64,0.0
2.21,4.46,7.18,9.0,1.24,6.11,4.6,465.1,92.51,0.84,200.88,10.85,64.6,52.67,0.0
2.79,2.37,10.07,9.0,1.94,5.01,4.92,657.2,189.13,1.11,395.7,9.89,64.47,47.52,0.0
