minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
4.03,3.85,5.28,9.0,1.32,2.61,4.35,488.31,102.66,0.87,229.1,10.35,63.35,51.19,0.0
3.68,3.61,12.33,9.0,1.4,3.57,4.6,575.84,165.05,0.98,312.51,10.47,64.48,50.8,0.0
2.32,2.66,8.04,9.0,1.58,6.94,4.83,640.63,194.97,1.11,377.69,10.19,64.89,48.68,0.0
1.71,1.84,4.62,9.0,1.17,4.35,4.71,563.21,152.37,0.98,306.12,9.9,63.07,48.68,0.0
4.45,2.04,11.14,9.0,1.18,6.8,5.36,708.38,283.48,1.1,438.87,10.18,67.19,47.94,0.0
4.03,3.26,13.28,9.0,1.76,5.28,4.74,599.22,165.31,1.01,336.59,10.27,64.46,50.22,0.0
1.66,1.86,10.37,9.0,1.1,6.36,4.88,530.68,141.81,0.96,275.52,10.21,62.52,50.7,0.0
1.36,4.68,8.13,9.0,1.84,3.07,4.2,502.07,112.21,0.89,244.66,10.26,62.67,50.18,0.0
1.67,1.6,13.31,9.0,1.39,3.09,4.91,602.67,167.09,1.03,346.05,9.67,63.14,47.13,0.0
2.15,1.92,11.8,9.0,0.54,3.02,4.51,462.31,103.8,0.83,203.99,10.35,63.06,51.37,75.0
1.37,4.75,8.61,9.0,1.9,3.52,4.24,517.61,120.02,0.91,257.96,10.31,63.42,50.3,0.0
3.88,4.89,12.66,9.0,1.95,7.09,4.73,636.3,176.03,1.07,370.29,10.33,65.63,49.88,0.0
3.17,1.83,13.81,9.0,1.59,2.57,5.59,728.49,254.84,1.12,464.28,9.51,65.47,45.92,0.0
2.22,1.78,13.59,9.0,1.68,3.58,4.8,646.25,188.38,1.05,385.88,9.71,64.44,46.42,0.0
1.73,3.39,4.58,9.0,1.3,6.31,4.29,486.07,104.58,0.87,227.17,10.52,63.29,51.47,0.0
4.3,4.71,11.45,9.0,1.26,2.44,4.91,658.86,233.14,1.09,389.77,10.47,66.26,50.35,0.0
3.03,1.61,12.9,9.0,1.08,7.12,4.99,641.22,228.86,1.03,377.81,10.1,65.37,47.97,0.0
1.8,4.61,14.42,9.0,0.99,5.62,4.3,453.54,93.62,0.83,187.77,11.12,65.02,53.99,0.0
2.2,4.74,11.22,9.0,1.99,5.42,4.72,505.29,98.33,0.91,247.17,10.41,62.94,51.16,0.0
2.43,3.41,13.65,9.0,1.28,3.84,4.73,451.67,84.27,0.84,194.31,10.64,62.89,52.57,0.0
4.15,5.08,4.45,9.0,0.63,7.19,4.32,442.08,96.43,0.79,175.27,11.17,65.13,53.5,20.0
4.02,5.45,14.43,9.0,0.74,7.35,4.32,478.36,128.0,0.88,210.42,11.26,65.43,54.45,13.0
1.88,1.72,13.89,9.0,1.92,4.28,4.84,621.85,166.33,1.04,363.93,9.63,63.66,46.84,0.0
1.89,4.39,12.38,9.0,1.77,2.33,4.87,537.12,116.65,0.93,275.98,10.19,63.88,49.93,0.0
4.16,3.81,11.66,9.0,1.44,7.15,4.57,557.53,147.9,0.97,290.12,10.67,65.61,51.48,0.0
2.3,4.48,13.27,9.0,0.72,7.14,4.26,450.93,101.88,0.83,183.95,11.24,65.21,54.6,34.0
3.82,4.36,12.26,9.0,0.92,7.28,4.22,476.71,115.67,0.84,209.09,11.05,65.62,52.68,0.0
2.54,5.41,13.95,9.0,0.51,3.0,4.3,429.8,86.28,0.78,161.52,11.33,65.52,54.54,92.0
4.38,3.8,8.0,9.0,0.7,3.36,4.57,534.86,169.99,0.97,267.2,10.84,65.39,52.68,14.0
2.74,2.4,14.26,9.0,1.16,6.96,4.5,526.14,138.73,0.94,264.15,10.6,64.1,51.82,0.0
4.83,3.9,8.65,9.0,1.62,5.63,4.42,524.99,124.43,0.96,267.63,10.45,62.97,51.59,0.0
1.62,1.94,12.3,9.0,1.35,2.44,5.03,659.1,207.31,1.08,395.82,9.77,65.08,46.83,0.0
3.28,1.71,9.79,9.0,1.9,6.12,5.23,783.02,285.9,1.13,514.77,9.61,66.73,45.14,0.0
3.14,1.59,7.55,9.0,1.89,5.27,5.26,936.8,395.14,1.19,658.33,9.39,70.31,41.96,0.0
1.47,3.31,11.77,9.0,1.8,2.82,4.5,560.93,130.11,0.98,303.44,10.04,62.95,48.97,0.0
2.88,4.34,6.98,9.0,1.7,6.13,4.14,449.74,73.09,0.81,191.34,10.54,63.06,51.49,0.0
2.16,4.69,10.83,9.0,1.73,5.59,4.31,492.43,96.42,0.88,231.54,10.59,63.67,51.87,0.0
2.45,3.61,14.45,9.0,0.87,5.62,4.41,474.43,111.49,0.86,207.64,11.03,65.27,52.69,0.0
1.44,5.63,10.22,9.0,1.37,3.54,4.09,456.62,93.31,0.83,194.76,10.78,63.96,52.5,0.0
3.67,2.02,10.82,9.0,1.57,3.45,5.18,662.13,216.02,1.04,397.32,9.8,65.76,47.05,0.0
3.59,5.22,8.0,9.0,1.41,7.72,5.07,597.37,180.96,1.07,327.65,10.68,66.46,51.32,0.0
2.52,5.1,12.08,9.0,1.1,4.99,4.63,487.42,112.14,0.87,218.49,11.05,65.76,53.29,0.0
4.42,2.9,8.26,9.0,1.43,3.92,5.23,740.69,289.31,1.2,472.28,10.13,66.47,48.52,0.0
3.53,5.55,11.05,9.0,0.88,5.58,4.54,550.12,174.32,1.0,278.22,11.07,66.72,52.61,0.0
3.07,3.04,10.79,9.0,1.94,7.05,4.77,614.81,164.72,1.04,352.09,10.19,64.5,49.25,0.0
4.99,4.95,10.24,9.0,1.35,5.67,5.08,625.07,208.92,1.12,355.88,10.63,66.12,51.77,0.0
1.33,3.04,9.45,9.0,0.81,3.57,4.32,480.79,112.58,0.85,215.58,10.73,64.93,51.84,9.0
2.08,5.69,6.1,9.0,0.85,7.79,4.18,488.85,123.26,0.87,219.26,11.18,66.0,52.94,1.0
2.87,5.74,11.01,9.0,1.86,7.69,4.09,472.47,83.16,0.86,212.24,10.65,63.47,52.06,0.0
2.24,5.29,8.03,9.0,0.58,4.83,4.15,428.13,80.19,0.76,158.09,11.29,66.0,53.74,81.0
2.68,2.97,7.48,9.0,1.84,2.9,4.78,521.61,107.87,0.93,268.53,9.91,61.74,49.42,0.0
3.83,1.78,6.31,9.0,1.13,2.66,5.36,727.3,287.38,1.11,462.63,9.65,65.53,46.24,0.0
4.3,1.47,11.45,9.0,1.17,2.62,5.7,839.76,385.18,1.23,573.74,9.39,66.5,44.48,0.0
1.35,4.47,3.99,9.0,1.46,5.74,4.26,485.73,105.06,0.87,226.11,10.54,63.42,51.6,0.0
3.93,2.11,11.03,9.0,1.17,7.24,4.83,653.26,237.08,1.03,384.9,10.31,66.68,48.47,0.0
1.76,5.38,14.46,9.0,0.91,6.43,4.26,465.47,106.25,0.85,198.0,11.21,65.37,53.58,0.0
1.51,2.99,12.27,9.0,1.5,3.67,4.76,582.04,155.38,1.01,317.67,10.33,64.85,49.91,0.0
2.35,5.14,4.92,9.0,1.59,6.3,4.27,463.38,83.28,0.84,205.24,10.6,62.97,52.14,0.0
1.98,5.26,14.1,9.0,1.04,4.22,4.27,506.12,131.13,0.91,239.39,11.02,65.22,53.03,0.0
1.67,3.21,6.89,9.0,1.41,7.58,4.41,495.97,106.55,0.88,236.2,10.58,63.62,51.54,0.0
4.15,2.11,12.62,9.0,1.39,5.83,4.9,645.03,217.95,1.07,379.82,10.19,65.63,48.97,0.0
4.96,2.31,12.53,9.0,1.9,2.89,5.24,797.3,298.3,1.21,528.79,9.54,66.68,45.51,0.0
1.58,4.45,8.06,9.0,1.5,5.37,4.94,562.46,148.66,0.98,296.8,10.53,65.26,50.63,0.0
3.88,5.14,6.76,9.0,2.0,6.59,4.6,677.57,203.67,1.08,410.71,10.2,65.81,48.04,0.0
2.63,4.27,12.46,9.0,1.37,3.93,4.55,588.11,169.04,1.03,320.27,10.67,65.7,51.18,0.0
3.09,4.94,8.39,9.0,1.67,2.03,4.42,564.27,136.51,1.01,304.25,10.18,63.43,50.2,0.0
4.66,5.21,14.23,9.0,1.81,6.75,4.88,579.53,152.32,1.03,318.55,10.48,63.69,51.5,0.0
3.74,4.37,9.31,9.0,1.71,3.24,4.36,532.91,122.13,0.95,274.97,10.32,62.92,50.81,0.0
3.3,3.51,13.82,9.0,1.61,3.56,4.72,517.16,115.42,0.91,256.08,10.41,63.92,50.63,0.0
4.9,2.65,6.73,9.0,1.7,4.69,4.85,696.45,233.81,1.11,427.54,9.97,66.71,47.34,0.0
4.26,2.38,7.96,9.0,1.03,7.63,4.75,594.71,201.2,1.04,330.87,10.48,65.05,50.57,0.0
2.33,3.94,13.94,9.0,0.94,3.96,4.52,520.02,143.93,0.95,255.13,10.91,64.77,53.17,0.0
3.73,1.98,9.33,9.0,0.58,3.21,4.71,519.17,155.63,0.91,260.79,10.33,63.15,51.64,51.0
2.16,2.21,9.44,9.0,1.8,4.67,4.64,527.58,113.72,0.94,273.38,9.95,62.13,49.38,0.0
1.38,1.6,4.71,9.0,0.98,3.3,4.88,594.96,180.0,1.04,339.41,9.68,62.73,47.91,0.0
4.51,3.26,9.16,9.0,1.92,2.43,4.55,614.14,159.63,1.0,352.49,9.83,64.21,47.94,0.0
