minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
3.36,4.37,14.88,9.0,0.87,7.64,4.36,464.9,109.4,0.84,197.79,11.18,65.19,53.68,0.0
2.94,3.67,9.53,9.0,1.81,5.76,4.37,545.13,128.39,0.97,285.5,10.31,63.52,50.34,0.0
4.48,2.79,5.93,9.0,1.41,7.64,4.73,559.3,152.26,0.97,298.45,10.32,64.09,50.06,0.0
2.94,3.85,13.7,9.0,1.08,5.79,4.33,485.07,114.13,0.87,219.32,10.97,64.98,53.37,0.0
2.94,3.47,13.7,9.0,1.53,2.08,4.64,642.98,193.95,1.05,376.85,10.06,65.86,47.99,0.0
3.98,3.09,8.96,9.0,0.67,7.64,4.29,466.7,114.8,0.82,198.48,10.96,65.79,52.4,20.0
2.94,1.57,5.53,9.0,1.82,7.64,4.99,730.01,243.85,1.13,468.41,9.5,65.1,45.19,0.0
4.61,4.0,13.7,9.0,1.08,6.57,4.43,501.1,128.75,0.91,235.32,10.97,65.01,53.69,0.0
1.56,5.51,5.01,9.0,0.87,7.64,4.7,451.1,94.45,0.82,184.81,11.13,65.04,53.92,0.0
2.94,3.29,13.7,9.0,1.41,2.88,5.16,632.25,197.66,1.08,364.24,10.31,66.33,49.19,0.0
1.45,4.37,5.93,9.0,1.08,7.64,4.16,462.51,94.78,0.83,196.71,10.96,65.01,52.61,0.0
4.21,2.79,6.94,9.0,1.41,7.64,4.73,635.43,201.99,1.08,369.05,10.38,65.83,49.96,0.0
2.94,4.37,13.7,9.0,0.73,7.64,4.09,452.16,101.76,0.79,182.96,11.15,65.99,52.79,9.0
4.38,4.37,13.7,9.0,1.08,7.64,4.41,521.7,144.61,0.94,255.15,10.95,65.37,52.89,0.0
2.42,2.89,9.33,9.0,1.41,3.0,4.52,519.23,118.61,0.92,261.86,10.23,62.94,50.37,0.0
3.36,4.37,13.7,9.0,1.08,7.64,4.41,542.16,159.12,0.99,274.87,10.95,65.45,52.71,0.0
3.67,5.62,4.2,9.0,1.08,2.88,4.32,497.41,116.47,0.88,233.85,10.67,64.44,51.91,0.0
2.94,3.63,7.31,9.0,1.41,6.93,4.13,470.39,92.88,0.83,209.91,10.65,63.74,51.61,0.0
