minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions,fitness
1.29,4.68,13.61,9.0,1.03,7.99,4.38,495.71,124.98,0.9,226.97,11.12,65.73,53.13,0.0,-0.31
2.07,5.72,11.31,9.0,1.03,7.99,4.81,491.77,122.49,0.89,223.46,11.14,65.61,53.58,0.0,-0.18
2.96,3.42,8.49,9.0,1.34,3.21,4.44,530.52,130.93,0.95,269.39,10.42,63.92,50.55,0.0,0.1
2.96,5.72,13.61,9.0,1.02,7.99,4.31,477.87,112.36,0.86,209.58,11.19,65.6,53.64,0.0,-0.41
1.7,5.72,13.61,9.0,0.64,4.69,4.07,427.06,79.54,0.77,158.38,11.37,65.65,54.24,66.0,4.0
2.96,2.13,9.66,9.0,1.03,7.99,4.77,577.48,182.41,1.02,314.56,10.43,64.85,50.46,0.0,0.34
3.51,3.15,13.61,9.0,1.03,2.2,4.63,548.7,160.44,1.0,287.48,10.41,63.94,51.1,0.0,0.21
2.96,5.72,12.58,9.0,1.03,4.07,4.34,454.08,95.44,0.84,190.27,11.06,64.55,53.86,0.0,-0.41
2.96,1.69,13.61,9.0,1.71,5.3,5.15,701.16,231.2,1.09,436.34,9.76,65.78,46.62,0.0,1.03
2.96,5.72,13.61,9.0,1.03,6.06,4.27,521.56,140.4,0.92,249.71,11.07,67.21,52.32,0.0,-0.25
2.96,5.72,7.99,9.0,1.03,4.24,4.26,483.15,111.86,0.86,215.19,11.03,65.53,53.29,0.0,-0.36
2.96,2.86,13.61,9.0,1.07,6.56,4.6,555.08,168.73,1.0,290.57,10.68,64.9,51.45,0.0,0.11
4.87,2.22,7.42,9.0,1.03,4.37,4.96,618.47,222.32,1.08,354.17,10.22,65.25,49.37,0.0,0.63
2.96,1.54,13.61,9.0,0.62,7.36,4.73,538.87,166.92,0.93,278.34,10.28,64.17,49.94,39.0,4.0
2.96,5.72,8.22,9.0,1.03,7.99,4.33,506.8,132.36,0.9,237.66,11.1,65.85,53.06,0.0,-0.3
2.96,3.36,10.36,9.0,0.87,3.24,4.32,455.44,95.81,0.83,192.3,10.79,64.3,52.77,0.0,-0.27
2.96,4.49,13.21,9.0,1.06,3.93,4.78,493.37,118.68,0.89,225.99,10.92,65.35,52.91,0.0,-0.09
2.96,5.72,3.93,9.0,0.87,7.99,4.07,453.89,97.04,0.83,188.54,11.12,64.84,53.89,0.0,-0.53
2.96,5.72,13.44,9.0,0.91,3.07,4.33,492.79,123.51,0.88,223.26,11.03,65.93,53.14,0.0,-0.3
2.96,5.72,13.61,9.0,1.87,7.37,4.26,487.16,92.91,0.89,227.38,10.62,63.34,52.36,0.0,-0.22
2.96,5.72,3.93,9.0,1.02,7.99,4.21,525.5,141.47,0.92,255.63,10.94,66.41,52.03,0.0,-0.22
