minGap,accel,decel,emergencyDecel,tau,delta,density,sampledSeconds,waitingTime,occupancy,timeLoss,speed,entered,flow,collisions
2.33,2.17,9.85,9.0,0.92,2.66,4.85,626.76,216.14,1.11,363.77,10.09,64.84,49.1,0.0
3.09,4.82,14.59,9.0,0.92,5.05,4.43,506.94,136.43,0.9,237.52,11.08,66.04,52.93,0.0
3.09,4.0,13.41,9.0,0.92,6.13,4.41,513.18,142.61,0.9,245.86,10.98,65.61,52.47,0.0
3.09,3.67,13.41,9.0,0.68,4.92,4.89,508.2,150.85,0.93,241.29,10.99,65.12,53.54,32.0
2.67,3.58,9.85,9.0,0.92,5.25,4.47,526.32,147.57,0.94,258.03,10.86,65.72,51.91,0.0
2.84,4.12,6.62,9.0,0.92,3.74,4.5,522.96,145.28,0.95,257.62,10.8,64.89,52.78,0.0
3.15,4.04,9.85,9.0,0.92,6.13,4.31,458.86,98.55,0.82,191.6,11.08,65.34,53.56,0.0
3.09,2.6,5.51,9.0,1.78,4.92,4.66,517.28,110.06,0.88,263.35,10.01,62.05,49.45,0.0
3.09,4.0,9.85,9.0,1.81,4.92,4.74,551.45,129.71,0.96,288.21,10.34,64.43,50.29,0.0
2.82,4.0,13.69,9.0,0.71,4.76,4.23,450.96,99.93,0.82,184.13,11.1,65.09,53.83,24.0
4.62,4.0,8.11,9.0,1.74,6.13,4.41,559.33,133.74,0.95,292.41,10.4,65.52,50.15,0.0
3.09,2.12,6.4,9.0,0.92,5.31,4.73,632.6,226.54,1.08,366.13,10.31,65.96,48.97,0.0
1.72,3.55,12.59,9.0,1.71,5.56,4.36,476.8,89.45,0.86,218.27,10.5,63.22,51.38,0.0
3.09,4.0,8.6,9.0,0.92,4.92,4.3,496.18,127.1,0.9,229.92,10.94,65.13,52.79,0.0
3.09,3.43,9.85,9.0,0.92,6.53,4.36,529.75,154.88,0.95,263.07,10.82,65.5,51.92,0.0
3.09,3.59,7.18,9.0,1.66,5.56,4.95,567.02,146.96,1.0,305.41,10.3,64.02,50.33,0.0
2.67,2.64,12.59,9.0,1.77,4.92,4.67,645.01,190.72,1.07,379.37,10.11,65.77,47.93,0.0
3.09,2.6,5.71,9.0,1.78,5.56,4.63,565.0,140.77,0.95,308.64,10.04,62.67,49.39,0.0
1.72,3.48,12.59,9.0,1.72,4.92,4.64,594.93,160.49,1.03,330.69,10.32,64.89,49.68,0.0
3.59,2.6,3.76,9.0,1.65,4.92,4.56,547.89,131.58,0.96,295.73,9.95,61.49,49.86,0.0
2.72,2.6,5.51,9.0,1.78,4.92,4.99,604.8,160.04,1.02,343.63,9.96,64.22,48.16,0.0
3.38,3.59,12.58,9.0,1.66,5.56,4.82,625.15,185.99,1.04,358.81,10.4,65.41,50.15,0.0
3.09,3.59,11.62,9.0,1.66,5.56,4.57,556.1,139.82,0.99,293.44,10.44,64.29,50.67,0.0
4.77,2.96,9.51,9.0,0.65,4.6,4.42,517.65,161.12,0.93,253.34,10.75,64.75,51.75,23.0
3.09,3.59,9.85,9.0,1.36,5.56,4.76,502.56,117.78,0.9,241.33,10.65,63.96,51.99,0.0
3.09,4.0,9.85,9.0,1.31,2.21,4.36,502.6,114.96,0.9,243.8,10.41,63.34,51.15,0.0
4.4,4.0,9.85,9.0,1.04,4.92,4.63,484.59,115.24,0.89,220.66,10.89,64.55,53.49,0.0
1.99,5.77,11.62,9.0,1.43,5.56,4.25,497.66,114.73,0.91,233.12,10.87,64.64,52.97,0.0
3.13,3.59,10.75,9.0,1.72,6.71,4.78,633.18,189.55,1.08,367.18,10.37,65.74,49.4,0.0
3.09,4.68,11.62,9.0,1.46,5.56,4.41,514.5,120.75,0.92,251.28,10.73,64.37,52.46,0.0
4.85,3.73,11.62,9.0,1.28,5.41,4.67,575.84,170.72,1.01,308.62,10.65,65.49,51.57,0.0
3.09,3.59,11.62,9.0,1.66,6.69,4.91,534.58,126.37,0.97,273.84,10.46,63.83,51.55,0.0
2.79,3.59,11.62,9.0,1.66,5.07,4.5,559.44,141.35,1.01,298.47,10.4,63.9,50.93,0.0
3.09,2.97,8.61,9.0,1.59,7.56,4.5,527.21,125.66,0.95,268.49,10.44,63.34,51.14,0.0
4.05,2.44,14.46,9.0,1.66,6.69,5.09,744.88,273.55,1.14,470.57,10.16,68.3,47.17,0.0
1.83,3.59,11.62,9.0,0.92,6.69,4.45,459.55,101.69,0.84,195.67,11.02,64.51,53.51,0.0
4.89,3.32,11.62,9.0,1.66,6.69,4.61,578.93,158.26,1.01,317.45,10.38,64.0,50.59,0.0
3.09,1.82,11.62,9.0,1.66,7.33,5.22,725.59,258.35,1.17,460.19,9.88,65.99,47.24,0.0
3.09,3.59,11.48,9.0,1.66,6.69,4.62,589.12,162.58,1.05,326.07,10.4,64.51,50.38,0.0
3.09,5.62,9.85,9.0,0.92,4.92,4.19,446.0,89.54,0.8,178.77,11.13,65.3,53.46,0.0
1.66,4.75,9.85,9.0,0.92,6.53,4.44,497.73,130.85,0.91,231.71,11.14,65.02,53.7,0.0
4.89,4.29,9.85,9.0,1.66,4.09,4.38,574.23,144.99,0.97,307.37,10.38,65.68,49.98,0.0
3.09,4.0,10.4,9.0,0.92,5.96,4.19,458.13,97.63,0.82,191.06,11.05,65.38,52.98,0.0
3.3,4.0,9.85,9.0,0.92,6.68,4.37,514.84,145.41,0.92,248.35,11.01,65.13,52.78,0.0
3.09,5.33,9.85,9.0,1.05,5.56,4.27,443.7,85.68,0.8,178.62,11.06,64.86,53.54,0.0
3.64,4.68,9.85,9.0,1.98,2.56,4.71,519.35,105.18,0.9,264.75,10.1,61.88,50.1,0.0
3.09,4.59,11.62,9.0,1.46,5.56,4.67,502.74,113.07,0.91,239.69,10.75,64.33,52.19,0.0
3.3,4.0,10.77,9.0,0.85,4.92,4.34,476.23,114.59,0.84,208.64,11.03,65.53,52.84,0.0
3.17,4.0,4.45,9.0,0.7,6.68,4.01,465.25,108.97,0.83,198.5,11.04,65.2,53.04,8.0
3.09,3.57,5.56,9.0,1.61,7.67,4.89,655.9,209.82,1.1,390.27,10.29,65.51,48.93,0.0
3.3,4.0,10.2,9.0,1.49,6.68,5.1,624.64,194.73,1.05,353.24,10.61,67.29,49.62,0.0
3.17,4.44,6.89,9.0,0.7,6.68,4.07,446.63,95.16,0.8,178.27,11.16,65.68,53.1,15.0
3.17,5.38,4.45,9.0,0.91,6.68,4.87,529.54,154.98,0.94,261.63,10.91,65.56,52.72,0.0
3.42,4.0,11.03,9.0,0.99,4.72,4.3,474.27,107.11,0.84,206.44,10.99,65.56,52.74,0.0
2.7,3.26,4.42,9.0,1.3,3.67,4.44,502.63,113.65,0.92,248.74,10.29,61.99,51.3,0.0
3.17,3.8,14.2,9.0,0.7,6.68,4.31,437.87,92.5,0.8,171.36,11.16,65.15,53.69,18.0
3.17,5.52,4.45,9.0,0.7,3.77,3.98,453.46,94.9,0.78,184.63,11.03,65.9,52.09,11.0
3.64,4.68,9.85,9.0,1.28,2.34,4.29,486.94,104.8,0.87,227.13,10.55,63.55,51.86,0.0
3.09,4.47,9.85,9.0,1.89,4.92,4.46,541.19,122.16,0.94,277.96,10.32,64.56,49.91,0.0
2.01,3.69,5.68,9.0,0.63,4.72,4.76,438.91,86.48,0.79,172.86,10.98,65.02,53.31,54.0
3.09,4.0,9.85,9.0,0.96,4.92,4.62,504.56,131.86,0.89,236.52,10.88,65.88,51.71,0.0
3.42,4.0,9.72,9.0,0.92,4.92,4.5,566.67,181.71,0.99,296.87,10.85,66.51,51.53,0.0
3.09,4.76,9.92,9.0,0.96,4.72,4.54,556.2,173.16,0.99,287.28,10.91,66.02,52.26,1.0
3.09,2.47,9.85,9.0,1.61,4.95,5.83,786.17,309.43,1.25,515.72,10.0,67.16,47.25,0.0
3.0,3.63,10.65,9.0,1.42,3.8,4.48,561.91,150.55,1.0,298.14,10.49,64.53,50.87,0.0
1.9,4.0,9.85,9.0,1.98,4.92,4.33,529.83,108.78,0.94,271.23,10.28,63.13,50.25,0.0
3.09,4.84,9.85,9.0,0.71,7.4,4.56,435.28,90.19,0.79,168.98,11.22,65.07,54.01,18.0
3.09,4.0,9.85,9.0,1.74,4.92,4.35,520.67,114.77,0.92,258.89,10.4,64.02,50.97,0.0
4.57,4.0,8.79,9.0,0.92,4.67,4.46,484.12,121.51,0.87,219.75,10.89,64.65,53.34,0.0
1.25,2.85,6.29,9.0,1.93,4.92,4.35,536.46,111.16,0.96,283.34,10.0,61.7,49.17,0.0
3.09,4.0,9.08,9.0,0.56,4.92,4.06,437.71,93.28,0.78,170.39,11.14,65.27,53.32,74.0
2.9,2.47,9.85,9.0,1.61,3.97,4.59,575.48,152.23,0.99,316.94,10.06,63.45,48.87,0.0
4.38,4.0,10.8,9.0,0.92,4.95,4.39,491.92,125.6,0.87,224.27,10.95,65.55,52.8,0.0
3.62,2.52,9.85,9.0,0.92,4.95,4.6,506.31,135.89,0.89,244.63,10.6,64.1,51.91,0.0
